state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
MN,4/4/2021,15,15,533,454,11,8
MO,4/4/2021,22,25,655,452,40,10
MS,4/4/2021,8,12,202,161,10,4
MT,4/4/2021,6,6,39,39,4,0
NC,4/4/2021,3,4,938,880,24,16
ND,4/4/2021,12,12,79,49,8,1
NE,4/4/2021,10,15,151,132,1,1
NH,4/4/2021,3,5,97,84,2,0
NJ,4/4/2021,7,8,"2,378","2,209",27,7
NM,4/4/2021,16,17,98,92,4,2
NV,4/4/2021,0,0,281,237,6,4
NY,4/4/2021,4,6,"5,095","4,595",99,52
OH,4/4/2021,11,17,"1,344","1,041",88,16
OK,4/4/2021,31,32,282,245,30,27
OR,4/4/2021,3,2,198,147,12,6
PA,4/4/2021,21,26,"2,567","2,276",57,34
PR,4/4/2021,0,0,232,209,29,10
RI,4/4/2021,3,3,177,143,3,3
SC,4/4/2021,21,21,513,472,4,3
SD,4/4/2021,1,1,87,62,3,1
TN,4/4/2021,12,31,855,774,15,13
TX,4/4/2021,106,122,"3,165","2,737",92,59
UT,4/4/2021,0,0,120,111,4,0
VA,4/4/2021,15,21,"1,013",847,19,12
VI,4/4/2021,2,2,4,4,0,0
VT,4/4/2021,2,1,26,26,0,0
WA,4/4/2021,7,7,639,413,51,16
WI,4/4/2021,10,12,286,268,10,3
WV,4/4/2021,14,15,287,262,3,2
WY,4/4/2021,4,5,26,19,0,0
AK,4/3/2021,1,1,40,37,0,0
AL,4/3/2021,24,28,443,335,9,8
AR,4/3/2021,13,17,159,119,5,2
AZ,4/3/2021,26,27,540,350,15,9
CA,4/3/2021,70,83,"2,360","2,021",57,41
CO,4/3/2021,6,7,402,337,18,12
CT,4/3/2021,4,4,560,492,9,5
DC,4/3/2021,0,0,156,126,23,9
DE,4/3/2021,1,1,166,136,5,4
FL,4/3/2021,11,31,"3,235","2,917",84,56
GA,4/3/2021,28,35,"1,234","1,059",26,9
HI,4/3/2021,1,1,56,42,2,0
IA,4/3/2021,2,2,201,196,6,4
ID,4/3/2021,4,4,169,153,1,0
IL,4/3/2021,11,9,"1,511","1,288",35,17
IN,4/3/2021,10,10,713,502,17,5
KS,4/3/2021,10,14,186,153,3,2
KY,4/3/2021,0,4,372,303,19,6
LA,4/3/2021,42,46,295,355,2,1
MA,4/3/2021,10,9,646,557,11,8
MD,4/3/2021,3,3,"1,377","1,115",18,9
ME,4/3/2021,1,2,89,78,2,2
MI,4/3/2021,3,3,"2,928","2,755",40,26
MN,4/3/2021,15,15,545,461,12,9
MO,4/3/2021,21,24,669,452,35,10
MS,4/3/2021,9,11,203,162,11,5
MT,4/3/2021,6,6,37,37,2,0
NC,4/3/2021,3,4,941,877,15,12
ND,4/3/2021,11,11,84,50,5,1
NE,4/3/2021,10,16,142,131,2,2
NH,4/3/2021,2,3,93,84,1,0
NJ,4/3/2021,9,9,"2,342","2,163",24,7
NM,4/3/2021,15,16,97,95,3,1
NV,4/3/2021,0,0,264,230,4,4
NY,4/3/2021,3,4,"5,005","4,516",88,48
OH,4/3/2021,11,17,"1,300","1,020",90,17
OK,4/3/2021,30,33,280,239,30,28
OR,4/3/2021,3,4,212,154,11,7
PA,4/3/2021,20,24,"2,536","2,171",56,34
PR,4/3/2021,0,0,233,205,22,14
RI,4/3/2021,3,3,176,141,3,3
SC,4/3/2021,21,21,504,469,4,2
SD,4/3/2021,1,1,85,62,4,1
TN,4/3/2021,13,32,849,783,14,10
TX,4/3/2021,107,123,"3,237","2,780",97,60
UT,4/3/2021,0,0,132,119,4,0
VA,4/3/2021,15,21,995,826,16,11
VI,4/3/2021,2,2,4,4,0,0
VT,4/3/2021,1,1,35,35,0,0
WA,4/3/2021,9,8,455,381,6,2
WI,4/3/2021,10,15,296,266,10,3
WV,4/3/2021,15,16,287,256,3,3
WY,4/3/2021,4,5,25,20,0,0
AK,4/2/2021,1,1,49,47,0,0
AL,4/2/2021,27,29,455,372,5,6
AR,4/2/2021,15,19,179,132,7,2
AZ,4/2/2021,25,26,555,356,13,11
CA,4/2/2021,70,80,"2,410","2,067",47,35
CO,4/2/2021,6,7,406,357,24,14
CT,4/2/2021,4,4,547,489,8,6
DC,4/2/2021,0,0,169,135,21,9
DE,4/2/2021,1,1,164,135,3,3
FL,4/2/2021,10,30,"3,260","2,938",56,48
GA,4/2/2021,30,37,"1,216","1,067",27,10
HI,4/2/2021,1,1,50,41,1,0
IA,4/2/2021,3,3,205,196,9,3
ID,4/2/2021,4,4,140,137,0,0
IL,4/2/2021,9,10,"1,470","1,273",28,16
IN,4/2/2021,11,12,698,503,24,5
KS,4/2/2021,12,13,179,141,4,3
KY,4/2/2021,0,3,385,330,16,5
LA,4/2/2021,42,46,320,383,9,2
MA,4/2/2021,10,9,628,554,11,8
MD,4/2/2021,3,3,"1,325","1,056",18,8
ME,4/2/2021,3,2,94,77,4,3
MI,4/2/2021,3,3,"2,796","2,638",42,30
MN,4/2/2021,17,16,542,459,11,8
MO,4/2/2021,24,27,730,467,43,14
MS,4/2/2021,10,12,229,173,13,6
MT,4/2/2021,6,7,43,39,2,0
NC,4/2/2021,3,4,970,904,23,15
ND,4/2/2021,12,12,87,55,5,1
NE,4/2/2021,10,16,139,123,4,2
NH,4/2/2021,4,5,92,83,2,0
NJ,4/2/2021,7,8,"2,396","2,233",26,6
NM,4/2/2021,15,16,100,96,7,7
NV,4/2/2021,0,0,271,243,1,5
NY,4/2/2021,5,5,"5,195","4,683",100,46
OH,4/2/2021,10,18,"1,281","1,033",106,20
OK,4/2/2021,31,35,296,249,35,31
OR,4/2/2021,3,3,202,158,9,6
PA,4/2/2021,19,25,"2,609","2,226",49,29
PR,4/2/2021,0,0,234,201,19,8
RI,4/2/2021,3,3,180,144,1,1
SC,4/2/2021,21,21,504,466,3,1
SD,4/2/2021,1,1,98,69,5,2
TN,4/2/2021,14,32,852,776,18,14
TX,4/2/2021,107,125,"3,266","2,800",93,54
UT,4/2/2021,0,0,127,118,5,0
VA,4/2/2021,16,21,992,843,25,15
VI,4/2/2021,1,1,5,5,0,0
VT,4/2/2021,1,1,35,35,1,0
WA,4/2/2021,9,10,477,386,7,2
