state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
NV,11/7/2020,5,7,867,740,5,4
NY,11/7/2020,13,14,"2,254","1,531",59,19
OH,11/7/2020,28,34,"2,518","2,188",65,20
OK,11/7/2020,43,54,"1,117","1,009",30,28
OR,11/7/2020,3,4,325,230,15,8
PA,11/7/2020,23,25,"2,397","2,033",37,24
PR,11/7/2020,8,8,513,370,22,7
RI,11/7/2020,2,2,226,226,1,1
SC,11/7/2020,32,34,751,643,3,2
SD,11/7/2020,10,12,534,519,5,3
TN,11/7/2020,18,26,"1,648","1,492",14,6
TX,11/7/2020,118,151,"6,644","6,001",82,48
UT,11/7/2020,9,8,455,428,7,0
VA,11/7/2020,30,39,"1,079",781,19,8
VI,11/7/2020,1,2,1,1,0,0
VT,11/7/2020,1,1,4,3,0,0
WA,11/7/2020,11,16,488,382,2,0
WI,11/7/2020,51,45,"2,092","1,938",11,4
WV,11/7/2020,15,18,380,349,1,1
WY,11/7/2020,6,8,160,147,8,0
AK,11/6/2020,3,4,105,96,6,5
AL,11/6/2020,31,35,"1,202","1,055",11,7
AR,11/6/2020,36,38,805,671,15,3
AZ,11/6/2020,29,31,"1,118",822,16,10
CA,11/6/2020,61,82,"3,455","2,820",40,31
CO,11/6/2020,10,10,"1,065",956,20,10
CT,11/6/2020,6,7,548,430,6,3
DC,11/6/2020,2,2,133,90,13,4
DE,11/6/2020,2,3,155,143,6,5
FL,11/6/2020,10,20,"3,621","2,702",43,23
GA,11/6/2020,35,40,"1,867","1,532",47,10
HI,11/6/2020,2,3,87,72,2,0
IA,11/6/2020,5,10,967,931,17,12
ID,11/6/2020,6,7,326,315,3,2
IL,11/6/2020,29,28,"4,260","3,341",87,39
IN,11/6/2020,24,30,"2,034","1,594",22,5
KS,11/6/2020,31,42,779,635,4,2
KY,11/6/2020,2,5,"1,175","1,016",37,14
LA,11/6/2020,42,47,595,"1,178",4,2
MA,11/6/2020,4,4,600,413,15,7
MD,11/6/2020,8,8,981,621,9,4
ME,11/6/2020,7,7,62,38,0,0
MI,11/6/2020,12,15,"2,400","2,075",14,7
MN,11/6/2020,27,27,"1,260","1,084",31,24
MO,11/6/2020,44,57,"2,042","1,784",43,13
MS,11/6/2020,17,24,647,556,15,6
MT,11/6/2020,19,16,475,421,7,5
NC,11/6/2020,3,3,"1,534","1,128",32,9
ND,11/6/2020,21,22,468,440,7,3
NE,11/6/2020,17,25,777,730,12,6
NH,11/6/2020,3,5,76,48,0,0
NJ,11/6/2020,11,11,"1,449","1,231",11,7
NM,11/6/2020,17,23,595,528,11,5
NV,11/6/2020,7,8,801,706,8,5
NY,11/6/2020,14,14,"2,191","1,499",63,16
OH,11/6/2020,26,34,"2,468","2,170",67,21
OK,11/6/2020,42,53,"1,105",982,33,31
OR,11/6/2020,6,5,295,204,11,8
PA,11/6/2020,22,24,"2,270","1,916",42,23
PR,11/6/2020,8,8,504,322,27,5
RI,11/6/2020,2,2,217,218,1,1
SC,11/6/2020,33,35,765,656,6,1
SD,11/6/2020,10,13,512,494,4,3
TN,11/6/2020,20,26,"1,664","1,518",10,5
TX,11/6/2020,129,157,"6,782","6,080",130,52
UT,11/6/2020,9,8,432,405,2,0
VA,11/6/2020,30,39,"1,048",778,20,12
VI,11/6/2020,1,2,1,0,0,0
VT,11/6/2020,1,1,9,3,0,0
WA,11/6/2020,15,16,507,400,6,4
WI,11/6/2020,50,43,"2,070","1,933",22,6
WV,11/6/2020,15,18,385,347,6,2
WY,11/6/2020,6,8,156,143,10,0
AK,11/5/2020,3,4,107,98,5,5
AL,11/5/2020,33,35,"1,211","1,047",19,12
AR,11/5/2020,37,40,752,625,18,2
AZ,11/5/2020,28,30,"1,059",792,12,9
CA,11/5/2020,62,85,"3,466","2,766",74,32
CO,11/5/2020,7,9,987,861,28,13
CT,11/5/2020,6,7,535,408,8,4
DC,11/5/2020,2,2,120,95,14,5
DE,11/5/2020,2,3,157,145,2,1
FL,11/5/2020,9,19,"3,589","2,706",37,21
GA,11/5/2020,32,41,"1,790","1,463",56,9
HI,11/5/2020,1,2,85,71,1,0
IA,11/5/2020,8,10,943,904,13,9
ID,11/5/2020,5,6,342,328,2,1
IL,11/5/2020,30,29,"4,093","3,240",90,35
IN,11/5/2020,24,29,"2,005","1,561",19,4
KS,11/5/2020,29,41,757,628,4,2
KY,11/5/2020,2,7,"1,199","1,060",30,15
LA,11/5/2020,42,48,620,"1,189",7,2
MA,11/5/2020,4,4,592,405,13,3
MD,11/5/2020,8,8,940,600,5,1
ME,11/5/2020,8,7,59,37,0,0
MI,11/5/2020,12,13,"2,280","1,998",17,13
MN,11/5/2020,27,26,"1,207","1,041",28,22
MO,11/5/2020,42,54,"1,963","1,711",37,20
MS,11/5/2020,17,23,646,562,15,1
MT,11/5/2020,18,16,486,429,6,5
NC,11/5/2020,3,3,"1,497","1,142",28,7
ND,11/5/2020,21,22,468,432,7,3
NE,11/5/2020,14,21,840,711,8,2
NH,11/5/2020,2,4,90,45,0,0
NJ,11/5/2020,11,11,"1,406","1,170",8,5
NM,11/5/2020,17,22,528,482,8,2
NV,11/5/2020,6,7,764,678,5,3
NY,11/5/2020,14,14,"2,156","1,440",67,18
OH,11/5/2020,27,36,"2,401","2,066",66,18
OK,11/5/2020,49,61,"1,051",978,25,22
OR,11/5/2020,4,5,262,182,13,8
PA,11/5/2020,25,25,"2,216","1,874",36,16
PR,11/5/2020,7,7,458,369,35,6
RI,11/5/2020,2,2,209,204,1,1
SC,11/5/2020,36,38,780,686,4,2
SD,11/5/2020,10,13,485,478,4,3
TN,11/5/2020,20,27,"1,679","1,543",7,7
TX,11/5/2020,127,150,"6,847","6,083",137,61
UT,11/5/2020,6,6,427,402,6,0
VA,11/5/2020,29,37,"1,045",770,15,10
VI,11/5/2020,1,2,0,0,0,0
VT,11/5/2020,1,1,5,3,0,0
WA,11/5/2020,14,17,489,392,4,1
WI,11/5/2020,41,38,"2,075","1,921",21,4
WV,11/5/2020,14,16,371,337,3,2
WY,11/5/2020,7,8,152,135,9,0
AK,11/4/2020,3,4,103,89,6,5
AL,11/4/2020,33,35,"1,199","1,048",15,10
AR,11/4/2020,36,40,814,602,13,2
AZ,11/4/2020,30,34,"1,054",803,19,12
CA,11/4/2020,62,86,"3,438","2,719",59,27
CO,11/4/2020,8,8,962,840,23,12
CT,11/4/2020,6,7,539,382,6,2
DC,11/4/2020,2,2,150,103,17,3
DE,11/4/2020,2,2,156,140,2,1
FL,11/4/2020,9,19,"3,560","2,671",35,22
GA,11/4/2020,32,39,"1,826","1,467",47,10
HI,11/4/2020,1,2,92,62,0,0
IA,11/4/2020,9,11,859,834,9,6
ID,11/4/2020,3,4,319,310,3,3
IL,11/4/2020,29,28,"4,024","3,152",77,28
IN,11/4/2020,22,29,"1,988","1,522",11,1
KS,11/4/2020,30,43,710,578,4,3
KY,11/4/2020,2,9,"1,149","1,016",33,15
LA,11/4/2020,41,47,622,"1,166",9,4
MA,11/4/2020,4,4,603,399,19,6
MD,11/4/2020,8,8,925,569,10,1
ME,11/4/2020,7,7,54,34,1,1
MI,11/4/2020,13,13,"2,208","1,921",20,15
MN,11/4/2020,25,26,"1,176","1,010",28,19
MO,11/4/2020,43,53,"1,884","1,632",42,17
MS,11/4/2020,17,25,619,531,15,7
MT,11/4/2020,20,18,445,419,6,6
NC,11/4/2020,3,3,"1,553","1,127",32,9
ND,11/4/2020,19,20,449,412,2,0
NE,11/4/2020,16,24,728,684,4,2
NH,11/4/2020,3,4,80,41,0,0
NJ,11/4/2020,12,11,"1,273","1,080",7,4
NM,11/4/2020,16,19,534,472,9,3
NV,11/4/2020,7,7,742,646,5,3
NY,11/4/2020,13,13,"2,121","1,406",58,17
OH,11/4/2020,26,35,"2,327","1,981",62,16
OK,11/4/2020,51,64,"1,063",985,23,19
OR,11/4/2020,3,4,258,183,6,3
PA,11/4/2020,26,25,"2,147","1,820",30,24
PR,11/4/2020,7,7,496,349,31,6
RI,11/4/2020,2,2,207,203,1,1
SC,11/4/2020,36,38,789,683,6,3
SD,11/4/2020,10,13,472,454,3,1
TN,11/4/2020,20,27,"1,735","1,544",11,7
TX,11/4/2020,124,146,"6,747","5,998",126,52
UT,11/4/2020,5,5,422,394,5,1
VA,11/4/2020,29,38,"1,066",756,17,10
VI,11/4/2020,1,2,0,0,0,0
VT,11/4/2020,1,1,8,4,0,0
WA,11/4/2020,11,15,487,377,2,0
WI,11/4/2020,39,39,"2,042","1,886",12,2
WV,11/4/2020,11,17,364,338,3,2
WY,11/4/2020,7,8,145,134,9,0
AK,11/3/2020,3,4,94,86,1,0
AL,11/3/2020,34,35,"1,119","1,025",13,8
AR,11/3/2020,36,40,699,581,6,1
AZ,11/3/2020,28,30,"1,018",755,13,8
CA,11/3/2020,64,81,"3,396","2,695",53,22
CO,11/3/2020,8,8,903,784,29,13
CT,11/3/2020,6,7,558,374,11,3
DC,11/3/2020,2,2,155,109,23,4
DE,11/3/2020,2,2,155,140,3,1
FL,11/3/2020,8,19,"3,576","2,684",35,24
GA,11/3/2020,33,36,"1,743","1,449",49,7
HI,11/3/2020,2,3,73,60,0,0
IA,11/3/2020,8,9,797,772,12,6
ID,11/3/2020,3,4,313,310,2,2
IL,11/3/2020,29,27,"3,813","3,038",58,25
IN,11/3/2020,22,27,"1,895","1,488",26,0
KS,11/3/2020,26,40,627,502,6,4
KY,11/3/2020,1,6,"1,089",992,19,2
LA,11/3/2020,40,46,606,"1,158",12,3
MA,11/3/2020,3,2,629,399,13,3
MD,11/3/2020,7,9,932,581,6,1
ME,11/3/2020,7,7,51,34,1,1
MI,11/3/2020,13,12,"2,035","1,777",13,11
MN,11/3/2020,29,28,"1,085",924,21,16
MO,11/3/2020,37,46,"1,798","1,566",36,14
MS,11/3/2020,17,24,625,538,8,3
MT,11/3/2020,20,19,424,398,8,7
NC,11/3/2020,3,3,"1,542","1,098",34,9
ND,11/3/2020,17,18,452,402,5,1
NE,11/3/2020,16,25,721,672,8,1
NH,11/3/2020,6,7,60,34,0,0
NJ,11/3/2020,10,10,"1,243","1,043",6,4
NM,11/3/2020,15,18,489,439,9,4
NV,11/3/2020,6,7,685,615,4,2
NY,11/3/2020,12,13,"2,066","1,385",57,132
OH,11/3/2020,23,30,"2,255","1,926",54,18
OK,11/3/2020,48,61,"1,042",964,24,23
OR,11/3/2020,3,4,270,177,15,4
PA,11/3/2020,24,22,"2,021","1,755",32,18
PR,11/3/2020,7,7,458,357,31,4
RI,11/3/2020,2,2,201,194,1,1
SC,11/3/2020,36,38,767,670,2,0
SD,11/3/2020,9,14,478,460,3,2
TN,11/3/2020,23,29,"1,650","1,501",12,8
TX,11/3/2020,121,144,"6,530","5,908",106,41
UT,11/3/2020,6,6,390,372,4,0
VA,11/3/2020,31,40,980,722,18,11
VI,11/3/2020,1,2,0,0,0,0
VT,11/3/2020,2,1,5,3,0,0
WA,11/3/2020,15,18,474,377,3,1
WI,11/3/2020,40,41,"2,006","1,854",15,3
WV,11/3/2020,12,16,357,322,2,2
WY,11/3/2020,7,7,134,119,6,0
AK,11/2/2020,3,4,96,79,1,1
AL,11/2/2020,35,36,"1,160","1,049",10,7
AR,11/2/2020,33,38,712,600,9,2
AZ,11/2/2020,28,30,935,692,17,7
CA,11/2/2020,60,83,"3,255","2,620",39,20
CO,11/2/2020,10,8,821,736,32,11
CT,11/2/2020,6,7,538,379,6,5
DC,11/2/2020,2,2,141,108,12,3
DE,11/2/2020,2,2,149,134,6,2
FL,11/2/2020,9,20,"3,664","2,742",40,22
GA,11/2/2020,33,37,"1,737","1,456",60,7
HI,11/2/2020,2,3,81,61,1,0
IA,11/2/2020,11,11,757,728,6,1
ID,11/2/2020,4,5,292,279,4,2
IL,11/2/2020,29,29,"3,583","2,946",67,30
IN,11/2/2020,22,27,"1,862","1,493",13,1
KS,11/2/2020,28,38,573,481,3,2
KY,11/2/2020,1,6,"1,062",960,27,14
LA,11/2/2020,40,46,604,"1,169",11,1
MA,11/2/2020,3,2,592,396,6,3
MD,11/2/2020,6,8,859,547,7,1
ME,11/2/2020,6,7,51,32,1,1
MI,11/2/2020,12,12,"1,895","1,661",21,10
MN,11/2/2020,27,27,"1,003",817,22,14
MO,11/2/2020,35,47,"1,737","1,535",36,17
MS,11/2/2020,19,24,622,530,8,2
MT,11/2/2020,20,19,421,392,4,3
NC,11/2/2020,3,3,"1,455","1,114",30,10
ND,11/2/2020,16,18,409,355,11,2
NE,11/2/2020,17,25,657,629,7,1
NH,11/2/2020,6,7,67,37,0,0
NJ,11/2/2020,10,10,"1,193","1,014",13,9
NM,11/2/2020,16,19,479,444,11,3
NV,11/2/2020,5,7,677,591,5,0
NY,11/2/2020,12,12,"1,948","1,308",48,132
OH,11/2/2020,25,32,"2,132","1,795",51,12
OK,11/2/2020,49,58,"1,018",941,23,21
OR,11/2/2020,3,3,273,173,6,2
PA,11/2/2020,24,22,"1,910","1,659",21,12
PR,11/2/2020,7,7,487,315,23,4
RI,11/2/2020,2,2,192,189,2,2
SC,11/2/2020,36,38,737,668,1,0
SD,11/2/2020,9,14,483,452,3,3
TN,11/2/2020,22,28,"1,627","1,505",12,9
TX,11/2/2020,117,143,"6,494","5,956",110,59
UT,11/2/2020,6,6,377,357,4,0
VA,11/2/2020,30,38,986,705,21,14
VI,11/2/2020,1,2,1,1,0,0
VT,11/2/2020,1,1,6,3,0,0
WA,11/2/2020,14,18,471,375,4,2
WI,11/2/2020,41,43,"1,925","1,791",20,3
WV,11/2/2020,12,16,365,325,1,1
WY,11/2/2020,7,7,136,122,7,0
AK,11/1/2020,3,4,95,77,1,1
AL,11/1/2020,35,36,"1,177","1,025",12,8
AR,11/1/2020,32,35,702,581,6,3
AZ,11/1/2020,27,30,942,680,19,10
CA,11/1/2020,61,82,"3,223","2,561",33,19
CO,11/1/2020,6,7,781,696,25,12
CT,11/1/2020,5,7,464,343,6,3
DC,11/1/2020,2,2,138,113,14,2
DE,11/1/2020,2,3,152,141,5,3
FL,11/1/2020,10,21,"3,179","2,600",30,19
GA,11/1/2020,33,39,"1,701","1,423",58,10
HI,11/1/2020,2,3,94,67,1,0
IA,11/1/2020,9,11,739,716,6,2
ID,11/1/2020,5,5,278,270,3,2
IL,11/1/2020,28,26,"3,406","2,717",66,35
IN,11/1/2020,25,29,"1,760","1,413",11,2
KS,11/1/2020,30,40,572,452,1,0
KY,11/1/2020,2,8,"1,031",925,20,5
LA,11/1/2020,40,46,573,"1,150",7,0
MA,11/1/2020,5,5,601,384,8,4
MD,11/1/2020,8,10,826,514,10,2
ME,11/1/2020,6,7,45,29,1,1
MI,11/1/2020,12,11,"1,831","1,619",21,12
MN,11/1/2020,24,26,841,802,51,43
MO,11/1/2020,43,56,"1,635","1,454",27,10
MS,11/1/2020,22,27,611,530,7,3
MT,11/1/2020,17,17,403,374,1,1
NC,11/1/2020,3,3,"1,476","1,094",29,10
ND,11/1/2020,17,19,325,312,4,3
NE,11/1/2020,15,24,637,606,4,1
NH,11/1/2020,6,7,79,42,0,0
NJ,11/1/2020,12,12,"1,150",961,27,5
NM,11/1/2020,16,19,456,422,11,8
NV,11/1/2020,6,6,661,579,2,1
NY,11/1/2020,13,13,"1,831","1,219",65,134
OH,11/1/2020,12,27,"2,021","1,668",59,12
OK,11/1/2020,49,58,998,922,26,22
OR,11/1/2020,3,4,240,157,6,1
PA,11/1/2020,26,25,"1,759","1,504",25,11
PR,11/1/2020,7,7,475,340,21,5
RI,11/1/2020,2,2,178,175,1,1
SC,11/1/2020,42,44,729,634,3,1
SD,11/1/2020,9,13,425,423,4,3
TN,11/1/2020,21,26,"1,611","1,469",15,8
TX,11/1/2020,115,143,"6,444","5,833",85,43
UT,11/1/2020,7,7,379,362,10,10
VA,11/1/2020,28,37,955,676,18,13
VI,11/1/2020,1,2,4,4,0,0
VT,11/1/2020,1,1,5,1,0,0
WA,11/1/2020,12,17,454,363,6,2
WI,11/1/2020,39,42,"1,792","1,680",24,2
WV,11/1/2020,12,15,367,308,3,1
WY,11/1/2020,7,7,121,110,1,0
AK,10/31/2020,3,4,97,79,1,1
AL,10/31/2020,35,36,"1,149","1,007",23,10
AR,10/31/2020,32,35,709,602,8,2
AZ,10/31/2020,28,30,889,657,16,8
CA,10/31/2020,66,82,"3,200","2,516",27,17
CO,10/31/2020,8,8,769,673,26,13
CT,10/31/2020,6,7,469,324,26,2
DC,10/31/2020,2,2,154,114,18,3
DE,10/31/2020,2,3,143,133,3,2
FL,10/31/2020,12,22,"3,135","2,512",38,21
GA,10/31/2020,34,39,"1,727","1,451",56,13
HI,10/31/2020,2,3,73,62,5,0
IA,10/31/2020,10,13,701,672,16,3
ID,10/31/2020,5,5,267,270,2,2
IL,10/31/2020,27,26,"3,300","2,573",61,30
IN,10/31/2020,25,27,"1,744","1,380",12,1
KS,10/31/2020,32,39,563,454,2,1
KY,10/31/2020,3,7,"1,045",930,22,15
LA,10/31/2020,43,46,527,"1,141",6,1
MA,10/31/2020,5,5,575,366,8,3
MD,10/31/2020,9,10,812,502,8,2
ME,10/31/2020,6,7,47,31,1,1
MI,10/31/2020,12,11,"1,768","1,544",22,17
MN,10/31/2020,26,26,802,812,21,13
MO,10/31/2020,42,55,"1,645","1,417",37,15
MS,10/31/2020,21,26,625,540,4,1
MT,10/31/2020,17,18,409,384,0,0
NC,10/31/2020,3,3,"1,417","1,064",28,8
ND,10/31/2020,17,19,324,321,4,4
NE,10/31/2020,14,23,650,611,5,2
NH,10/31/2020,6,8,69,39,0,0
NJ,10/31/2020,11,11,"1,147",929,28,3
NM,10/31/2020,18,20,377,356,3,1
NV,10/31/2020,6,7,637,541,4,6
NY,10/31/2020,13,13,"1,867","1,183",97,137
OH,10/31/2020,23,27,"1,973","1,641",80,19
OK,10/31/2020,48,57,984,898,22,21
OR,10/31/2020,5,4,253,153,5,1
PA,10/31/2020,27,26,"1,781","1,508",24,9
PR,10/31/2020,7,7,473,338,23,6
RI,10/31/2020,2,2,171,167,1,1
SC,10/31/2020,41,43,775,641,4,3
SD,10/31/2020,9,13,428,425,4,3
TN,10/31/2020,19,25,"1,607","1,456",13,7
TX,10/31/2020,121,146,"6,355","5,754",103,45
UT,10/31/2020,6,6,359,346,11,11
VA,10/31/2020,29,39,951,675,24,13
VI,10/31/2020,1,2,3,3,0,0
VT,10/31/2020,1,1,3,3,1,0
WA,10/31/2020,13,20,430,346,9,5
WI,10/31/2020,39,42,"1,730","1,608",23,2
WV,10/31/2020,12,14,326,292,2,1
WY,10/31/2020,7,7,118,114,1,0
AK,10/30/2020,3,4,92,74,2,2
AL,10/30/2020,34,36,"1,126",995,28,16
AR,10/30/2020,35,38,756,615,15,3
AZ,10/30/2020,27,28,915,659,14,6
CA,10/30/2020,55,77,"3,217","2,555",34,20
CO,10/30/2020,6,8,769,639,32,15
CT,10/30/2020,6,7,489,340,3,2
DC,10/30/2020,2,2,187,123,18,3
DE,10/30/2020,2,3,139,124,1,0
FL,10/30/2020,12,20,"3,136","2,546",34,23
GA,10/30/2020,32,41,"1,729","1,427",64,14
HI,10/30/2020,1,2,89,58,1,0
IA,10/30/2020,11,11,653,624,14,4
ID,10/30/2020,5,5,267,266,4,2
IL,10/30/2020,24,25,"3,236","2,479",54,34
IN,10/30/2020,23,25,"1,725","1,366",22,1
KS,10/30/2020,30,39,548,448,7,2
KY,10/30/2020,2,6,"1,045",922,28,3
LA,10/30/2020,43,46,531,"1,143",7,1
MA,10/30/2020,5,5,580,362,8,3
MD,10/30/2020,9,10,801,512,8,2
ME,10/30/2020,7,7,42,24,0,0
MI,10/30/2020,12,11,"1,715","1,502",18,14
MN,10/30/2020,27,26,785,801,21,15
MO,10/30/2020,44,54,"1,646","1,438",43,11
MS,10/30/2020,21,24,640,555,4,1
MT,10/30/2020,17,18,412,386,2,0
NC,10/30/2020,3,3,"1,467","1,101",24,6
ND,10/30/2020,18,20,354,347,1,1
NE,10/30/2020,14,23,630,587,2,1
NH,10/30/2020,6,7,71,43,1,0
NJ,10/30/2020,12,12,"1,134",895,30,2
NM,10/30/2020,17,20,459,404,8,2
NV,10/30/2020,4,7,562,535,4,5
NY,10/30/2020,14,13,"1,861","1,197",85,134
OH,10/30/2020,23,27,"1,947","1,609",64,9
OK,10/30/2020,49,58,932,853,19,17
OR,10/30/2020,4,4,242,154,4,1
PA,10/30/2020,26,26,"1,764","1,495",38,17
PR,10/30/2020,7,7,489,348,37,6
RI,10/30/2020,2,2,168,166,12,8
SC,10/30/2020,40,42,783,649,7,4
SD,10/30/2020,9,13,412,409,3,2
TN,10/30/2020,25,32,"1,675","1,492",10,5
TX,10/30/2020,115,142,"6,362","5,753",76,48
UT,10/30/2020,6,6,341,327,10,10
VA,10/30/2020,29,40,980,726,26,14
VI,10/30/2020,1,2,3,3,0,0
VT,10/30/2020,1,1,4,4,0,0
WA,10/30/2020,10,18,470,374,7,5
WI,10/30/2020,39,42,"1,811","1,659",18,3
WV,10/30/2020,12,15,331,290,2,1
WY,10/30/2020,7,8,126,122,1,0
AK,10/29/2020,3,4,88,71,1,1
AL,10/29/2020,32,36,"1,148",993,22,15
AR,10/29/2020,33,39,734,630,15,4
AZ,10/29/2020,25,28,752,641,9,5
CA,10/29/2020,55,77,"3,132","2,441",35,19
CO,10/29/2020,5,6,736,617,31,14
CT,10/29/2020,6,7,543,328,13,2
DC,10/29/2020,2,2,161,123,18,3
DE,10/29/2020,2,3,144,136,1,0
FL,10/29/2020,13,21,"3,105","2,512",46,32
GA,10/29/2020,33,42,"1,768","1,452",67,11
HI,10/29/2020,1,2,77,62,2,0
IA,10/29/2020,9,11,637,602,10,4
ID,10/29/2020,5,5,255,256,5,4
IL,10/29/2020,25,27,"3,147","2,377",72,34
IN,10/29/2020,22,25,"1,659","1,330",17,2
KS,10/29/2020,29,38,541,443,3,2
KY,10/29/2020,2,6,"1,014",894,25,4
LA,10/29/2020,42,46,593,"1,156",3,2
MA,10/29/2020,5,5,511,343,10,4
MD,10/29/2020,9,10,804,508,7,1
ME,10/29/2020,8,7,38,21,0,0
MI,10/29/2020,12,11,"1,658","1,446",17,10
MN,10/29/2020,27,26,752,763,24,17
MO,10/29/2020,43,56,"1,646","1,433",36,17
MS,10/29/2020,24,25,653,606,3,0
MT,10/29/2020,16,16,385,365,3,2
NC,10/29/2020,2,3,"1,493","1,110",31,11
ND,10/29/2020,17,20,329,321,3,2
NE,10/29/2020,15,23,598,540,4,1
NH,10/29/2020,5,6,61,32,0,0
NJ,10/29/2020,12,12,"1,103",882,32,2
NM,10/29/2020,15,19,434,374,8,2
NV,10/29/2020,5,7,575,532,5,3
NY,10/29/2020,16,15,"1,850","1,176",76,17
OH,10/29/2020,22,29,"1,814","1,535",63,6
OK,10/29/2020,48,59,902,840,17,20
OR,10/29/2020,4,4,255,168,3,2
PA,10/29/2020,23,26,"1,766","1,466",33,16
PR,10/29/2020,7,7,457,325,35,4
RI,10/29/2020,2,2,171,170,3,3
SC,10/29/2020,40,42,771,641,4,1
SD,10/29/2020,9,13,398,397,4,2
TN,10/29/2020,23,30,"1,603","1,456",4,3
TX,10/29/2020,115,141,"6,187","5,579",67,48
UT,10/29/2020,4,5,355,341,10,10
VA,10/29/2020,29,39,"1,004",715,31,14
VI,10/29/2020,1,2,3,3,0,0
VT,10/29/2020,1,1,6,5,0,0
WA,10/29/2020,11,20,433,340,7,5
WI,10/29/2020,37,42,"1,751","1,579",17,6
WV,10/29/2020,10,13,337,292,2,1
WY,10/29/2020,6,6,114,106,1,0
AK,10/28/2020,3,4,81,68,7,0
AL,10/28/2020,32,36,"1,174","1,034",20,12
AR,10/28/2020,32,39,733,624,9,3
AZ,10/28/2020,26,29,716,609,10,4
CA,10/28/2020,63,83,"3,066","2,364",31,15
CO,10/28/2020,5,6,711,586,33,13
CT,10/28/2020,7,7,445,320,17,2
DC,10/28/2020,2,2,164,124,17,2
DE,10/28/2020,2,3,154,134,1,0
FL,10/28/2020,13,20,"2,977","2,490",52,31
GA,10/28/2020,31,40,"1,732","1,416",61,9
HI,10/28/2020,2,3,83,65,0,0
IA,10/28/2020,6,8,644,601,5,5
ID,10/28/2020,3,3,267,252,4,3
IL,10/28/2020,23,27,"3,068","2,382",74,26
IN,10/28/2020,20,23,"1,732","1,279",25,4
KS,10/28/2020,25,38,548,431,2,1
KY,10/28/2020,2,6,"1,008",889,20,4
LA,10/28/2020,43,47,612,"1,145",14,5
MA,10/28/2020,5,5,512,340,9,4
MD,10/28/2020,9,10,794,487,6,0
ME,10/28/2020,6,7,35,19,2,0
MI,10/28/2020,11,11,"1,564","1,360",15,7
MN,10/28/2020,24,25,"1,420",721,29,19
MO,10/28/2020,44,53,"1,575","1,373",35,14
MS,10/28/2020,20,23,649,612,5,2
MT,10/28/2020,15,16,389,366,2,2
NC,10/28/2020,2,3,"1,507","1,120",21,10
ND,10/28/2020,17,20,318,311,3,1
NE,10/28/2020,13,22,519,485,2,1
NH,10/28/2020,5,6,59,27,1,1
NJ,10/28/2020,13,14,"1,116",844,45,6
NM,10/28/2020,15,18,385,342,5,2
NV,10/28/2020,6,7,571,519,5,2
NY,10/28/2020,14,13,"1,924","1,174",82,20
OH,10/28/2020,24,28,"1,765","1,492",62,8
OK,10/28/2020,44,56,889,838,19,15
OR,10/28/2020,3,5,238,157,6,1
PA,10/28/2020,24,26,"1,813","1,430",33,16
PR,10/28/2020,7,7,468,302,33,3
RI,10/28/2020,2,2,180,180,1,1
SC,10/28/2020,40,42,796,659,4,0
SD,10/28/2020,8,13,402,398,4,3
TN,10/28/2020,22,29,"1,570","1,448",8,4
TX,10/28/2020,118,141,"6,203","5,571",76,48
UT,10/28/2020,5,6,345,334,10,10
VA,10/28/2020,30,39,"1,039",725,26,12
VI,10/28/2020,1,2,2,2,0,0
VT,10/28/2020,1,1,6,5,0,0
WA,10/28/2020,12,18,444,334,6,3
WI,10/28/2020,39,41,"1,703","1,555",21,8
WV,10/28/2020,11,15,349,288,2,1
WY,10/28/2020,8,7,107,106,0,0
AK,10/27/2020,3,4,79,63,0,0
AL,10/27/2020,33,35,"1,105","1,003",20,9
AR,10/27/2020,27,35,700,619,15,3
AZ,10/27/2020,25,28,"1,101",609,10,8
CA,10/27/2020,55,77,"2,968","2,346",36,20
CO,10/27/2020,6,6,679,529,22,9
CT,10/27/2020,7,7,446,309,8,2
DC,10/27/2020,2,2,178,119,19,3
DE,10/27/2020,2,2,141,130,2,0
FL,10/27/2020,13,20,"2,811","2,483",41,30
GA,10/27/2020,33,44,"1,783","1,430",107,15
HI,10/27/2020,1,2,85,64,0,0
IA,10/27/2020,7,10,624,577,8,4
ID,10/27/2020,3,3,261,252,3,2
IL,10/27/2020,24,26,"2,877","2,222",63,17
IN,10/27/2020,19,23,"1,687","1,268",16,3
KS,10/27/2020,25,37,501,426,3,2
KY,10/27/2020,1,6,948,841,22,6
LA,10/27/2020,41,44,569,"1,139",9,6
MA,10/27/2020,3,2,493,341,11,5
MD,10/27/2020,8,9,814,488,9,2
ME,10/27/2020,8,7,34,14,0,0
MI,10/27/2020,10,11,"1,540","1,308",13,9
MN,10/27/2020,26,26,821,689,26,15
MO,10/27/2020,44,49,"1,517","1,326",22,5
MS,10/27/2020,22,25,621,581,11,3
MT,10/27/2020,15,16,388,374,2,1
NC,10/27/2020,2,4,"1,529","1,145",26,10
ND,10/27/2020,17,19,304,300,6,1
NE,10/27/2020,13,21,502,446,0,0
NH,10/27/2020,3,5,51,24,0,0
NJ,10/27/2020,10,10,"1,018",818,24,3
