state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,state,date,critical_staffing_shortage_today_yes_wkLtr,critical_staffing_shortage_anticipated_within_week_yes
LA,11/30/2020,47,49,8,11,1884,1188,LA,12/7/2020,47,50
MA,11/30/2020,6,4,12,22,964,1122,MA,12/7/2020,7,7
MD,11/30/2020,6,7,5,8,1534,1948,MD,12/7/2020,8,8
ME,11/30/2020,7,6,1,3,145,172,ME,12/7/2020,9,7
MI,11/30/2020,11,17,18,24,3922,4337,MI,12/7/2020,30,31
MN,11/30/2020,24,29,16,19,1878,2038,MN,12/7/2020,24,30
MO,11/30/2020,47,56,22,50,2496,2708,MO,12/7/2020,45,56
MS,11/30/2020,20,27,7,15,943,1087,MS,12/7/2020,20,31
MT,11/30/2020,19,20,4,5,443,451,MT,12/7/2020,17,19
NC,11/30/2020,6,7,11,20,1884,2194,NC,12/7/2020,6,6
ND,11/30/2020,21,21,6,11,404,448,ND,12/7/2020,21,20
NE,11/30/2020,18,32,13,13,890,906,NE,12/7/2020,17,29
NH,11/30/2020,5,7,0,0,149,178,NH,12/7/2020,5,8
NJ,11/30/2020,12,14,6,23,2986,3187,NJ,12/7/2020,14,13
NM,11/30/2020,19,20,6,19,834,852,NM,12/7/2020,22,21
NV,11/30/2020,13,14,8,2,1543,1603,NV,12/7/2020,12,16
NY,11/30/2020,18,18,28,90,3818,4534,NY,12/7/2020,18,18
OH,11/30/2020,31,49,30,70,5076,5406,OH,12/7/2020,36,63
OK,11/30/2020,49,58,30,31,1607,1650,OK,12/7/2020,47,54
OR,11/30/2020,4,5,9,17,565,668,OR,12/7/2020,6,8
PA,11/30/2020,26,28,25,64,5068,5621,PA,12/7/2020,30,35
PR,11/30/2020,0,0,1,28,447,635,PR,12/7/2020,0,0
RI,11/30/2020,2,2,6,6,415,447,RI,12/7/2020,2,2
SC,11/30/2020,24,30,7,10,858,944,SC,12/7/2020,23,32
SD,11/30/2020,10,13,4,5,516,533,SD,12/7/2020,10,13
TN,11/30/2020,27,36,20,24,2388,2579,TN,12/7/2020,28,43
TX,11/30/2020,150,177,68,116,9066,9551,TX,12/7/2020,153,181
UT,11/30/2020,7,6,0,10,547,557,UT,12/7/2020,6,6
VA,11/30/2020,27,36,9,29,1389,1694,VA,12/7/2020,29,38
VI,11/30/2020,1,2,0,0,2,2,VI,12/7/2020,1,2
VT,11/30/2020,1,1,0,0,21,25,VT,12/7/2020,0,1
WA,11/30/2020,15,22,8,12,938,1046,WA,12/7/2020,13,20
WI,11/30/2020,58,56,6,11,2046,2133,WI,12/7/2020,54,57
WV,11/30/2020,17,21,3,6,624,676,WV,12/7/2020,20,21
WY,11/30/2020,7,9,0,0,242,254,WY,12/7/2020,6,7
AK,11/29/2020,5,6,2,3,147,159,AK,12/6/2020,5,7
AL,11/29/2020,33,36,11,21,1641,1832,AL,12/6/2020,34,38
AR,11/29/2020,36,41,7,14,935,1094,AR,12/6/2020,38,44
AZ,11/29/2020,28,31,12,26,2127,2574,AZ,12/6/2020,28,34
CA,11/29/2020,75,101,68,96,7857,8493,CA,12/6/2020,92,109
CO,11/29/2020,13,18,7,15,1771,1872,CO,12/6/2020,12,17
CT,11/29/2020,7,9,7,9,1118,1277,CT,12/6/2020,2,3
DC,11/29/2020,2,2,6,22,180,201,DC,12/6/2020,0,0
DE,11/29/2020,1,2,5,8,271,289,DE,12/6/2020,2,3
FL,11/29/2020,7,24,25,39,4219,4680,FL,12/6/2020,10,31
GA,11/29/2020,33,41,12,43,2163,2512,GA,12/6/2020,37,43
HI,11/29/2020,2,3,0,1,57,65,HI,12/6/2020,2,3
IA,11/29/2020,6,11,5,6,1161,1170,IA,12/6/2020,5,8
ID,11/29/2020,5,9,3,4,429,451,ID,12/6/2020,7,8
IL,11/29/2020,40,44,29,49,5051,5939,IL,12/6/2020,42,44
IN,11/29/2020,31,39,15,33,2820,3375,IN,12/6/2020,30,40
KS,11/29/2020,46,59,0,2,1080,1254,KS,12/6/2020,44,56
KY,11/29/2020,4,10,11,30,1633,1804,KY,12/6/2020,4,8
LA,11/29/2020,47,49,7,8,1836,1115,LA,12/6/2020,47,50
MA,11/29/2020,6,6,20,29,961,1143,MA,12/6/2020,9,10
MD,11/29/2020,10,9,14,18,1575,1900,MD,12/6/2020,9,9
ME,11/29/2020,7,7,1,1,142,174,ME,12/6/2020,5,6
MI,11/29/2020,10,15,20,27,3765,4069,MI,12/6/2020,30,32
MN,11/29/2020,26,29,24,29,1893,2030,MN,12/6/2020,23,28
MO,11/29/2020,46,58,28,52,2424,2618,MO,12/6/2020,46,62
MS,11/29/2020,21,26,14,22,908,1042,MS,12/6/2020,22,32
MT,11/29/2020,22,21,3,3,436,447,MT,12/6/2020,17,17
NC,11/29/2020,7,8,18,31,1839,2172,NC,12/6/2020,5,6
ND,11/29/2020,22,22,2,7,407,451,ND,12/6/2020,22,21
NE,11/29/2020,17,32,11,11,881,920,NE,12/6/2020,15,28
NH,11/29/2020,6,8,0,0,142,180,NH,12/6/2020,5,7
NJ,11/29/2020,15,15,11,27,2915,3179,NJ,12/6/2020,14,14
NM,11/29/2020,17,19,7,18,806,823,NM,12/6/2020,22,22
NV,11/29/2020,12,14,7,5,1489,1597,NV,12/6/2020,12,16
NY,11/29/2020,17,17,27,91,3674,4322,NY,12/6/2020,19,19
OH,11/29/2020,34,51,35,73,4932,5273,OH,12/6/2020,39,68
OK,11/29/2020,49,57,33,34,1550,1618,OK,12/6/2020,45,54
OR,11/29/2020,3,4,7,13,542,654,OR,12/6/2020,5,5
PA,11/29/2020,30,30,35,65,4910,5560,PA,12/6/2020,26,30
PR,11/29/2020,0,0,0,27,453,620,PR,12/6/2020,0,0
RI,11/29/2020,2,3,5,5,399,431,RI,12/6/2020,3,3
SC,11/29/2020,26,32,3,3,808,928,SC,12/6/2020,24,31
SD,11/29/2020,11,15,2,5,511,532,SD,12/6/2020,13,15
TN,11/29/2020,28,38,17,19,2330,2513,TN,12/6/2020,24,33
TX,11/29/2020,140,175,62,105,8901,9490,TX,12/6/2020,146,182
UT,11/29/2020,8,7,0,9,541,559,UT,12/6/2020,6,7
VA,11/29/2020,28,37,8,15,1344,1694,VA,12/6/2020,27,36
VI,11/29/2020,1,2,0,0,1,1,VI,12/6/2020,1,2
VT,11/29/2020,1,1,0,0,18,22,VT,12/6/2020,0,1
WA,11/29/2020,14,21,7,10,884,971,WA,12/6/2020,13,23
WI,11/29/2020,63,62,3,10,1982,2080,WI,12/6/2020,59,59
WV,11/29/2020,18,21,4,7,619,693,WV,12/6/2020,20,20
WY,11/29/2020,6,9,0,0,239,245,WY,12/6/2020,6,7
AK,11/28/2020,5,6,2,4,147,155,AK,12/5/2020,5,6
AL,11/28/2020,32,36,8,14,1599,1793,AL,12/5/2020,34,38
AR,11/28/2020,36,41,6,13,899,1054,AR,12/5/2020,39,44
AZ,11/28/2020,29,35,12,25,2061,2510,AZ,12/5/2020,31,37
CA,11/28/2020,77,100,60,83,7502,8152,CA,12/5/2020,88,107
CO,11/28/2020,12,18,12,27,1710,1826,CO,12/5/2020,13,17
CT,11/28/2020,7,9,6,12,1088,1254,CT,12/5/2020,2,3
DC,11/28/2020,2,2,6,19,170,214,DC,12/5/2020,0,0
DE,11/28/2020,1,2,4,6,233,245,DE,12/5/2020,2,3
FL,11/28/2020,6,24,22,37,4083,4602,FL,12/5/2020,9,30
GA,11/28/2020,33,41,11,47,2029,2354,GA,12/5/2020,37,43
HI,11/28/2020,2,3,0,1,56,63,HI,12/5/2020,1,3
IA,11/28/2020,6,10,8,11,1165,1180,IA,12/5/2020,4,8
ID,11/28/2020,5,8,2,2,431,450,ID,12/5/2020,7,8
IL,11/28/2020,44,47,26,50,5037,5943,IL,12/5/2020,42,43
IN,11/28/2020,29,40,15,31,2784,3352,IN,12/5/2020,30,40
KS,11/28/2020,47,60,0,6,1076,1283,KS,12/5/2020,42,57
KY,11/28/2020,5,9,11,21,1603,1779,KY,12/5/2020,5,10
LA,11/28/2020,47,50,9,14,1781,1080,LA,12/5/2020,47,50
MA,11/28/2020,6,6,18,25,876,1052,MA,12/5/2020,10,9
MD,11/28/2020,11,10,15,22,1519,1864,MD,12/5/2020,9,10
ME,11/28/2020,8,7,1,2,131,158,ME,12/5/2020,5,6
MI,11/28/2020,10,15,18,26,3762,4132,MI,12/5/2020,28,33
MN,11/28/2020,25,28,21,29,1863,2014,MN,12/5/2020,24,29
MO,11/28/2020,49,60,24,49,2371,2588,MO,12/5/2020,47,63
MS,11/28/2020,19,26,12,17,900,1020,MS,12/5/2020,22,32
MT,11/28/2020,22,21,4,4,454,466,MT,12/5/2020,18,17
NC,11/28/2020,5,7,19,33,1747,2061,NC,12/5/2020,5,7
ND,11/28/2020,22,22,3,7,410,450,ND,12/5/2020,22,21
NE,11/28/2020,19,32,10,10,895,917,NE,12/5/2020,17,29
NH,11/28/2020,6,8,0,0,131,161,NH,12/5/2020,5,7
NJ,11/28/2020,12,13,5,23,2768,3031,NJ,12/5/2020,12,11
NM,11/28/2020,18,21,7,18,815,833,NM,12/5/2020,20,22
NV,11/28/2020,13,13,16,4,1452,1559,NV,12/5/2020,11,16
NY,11/28/2020,17,17,25,93,3503,4166,NY,12/5/2020,19,19
OH,11/28/2020,34,52,35,80,4507,5129,OH,12/5/2020,38,55
OK,11/28/2020,50,58,31,32,1534,1582,OK,12/5/2020,44,52
OR,11/28/2020,3,3,6,9,516,605,OR,12/5/2020,4,6
PA,11/28/2020,30,31,48,83,4746,5340,PA,12/5/2020,28,32
PR,11/28/2020,0,0,2,26,444,590,PR,12/5/2020,0,0
RI,11/28/2020,2,3,5,5,388,415,RI,12/5/2020,3,3
SC,11/28/2020,26,32,5,7,800,935,SC,12/5/2020,24,32
SD,11/28/2020,11,15,4,6,504,526,SD,12/5/2020,13,14
TN,11/28/2020,28,36,18,21,2219,2364,TN,12/5/2020,25,34
TX,11/28/2020,141,177,55,100,8708,9320,TX,12/5/2020,149,178
UT,11/28/2020,8,7,0,7,521,537,UT,12/5/2020,7,7
VA,11/28/2020,28,37,9,19,1322,1671,VA,12/5/2020,27,36
VI,11/28/2020,1,2,0,0,1,1,VI,12/5/2020,1,2
VT,11/28/2020,1,1,0,1,16,19,VT,12/5/2020,0,1
WA,11/28/2020,14,21,6,10,850,960,WA,12/5/2020,14,24
WI,11/28/2020,63,63,4,12,1935,2068,WI,12/5/2020,58,59
WV,11/28/2020,16,19,4,8,578,628,WV,12/5/2020,19,21
WY,11/28/2020,7,9,0,0,222,229,WY,12/5/2020,6,7
AK,11/27/2020,5,6,2,5,141,150,AK,12/4/2020,5,6
AL,11/27/2020,32,36,9,14,1539,1727,AL,12/4/2020,35,38
AR,11/27/2020,36,41,3,14,910,1054,AR,12/4/2020,39,45
AZ,11/27/2020,28,33,11,23,2056,2426,AZ,12/4/2020,31,36
CA,11/27/2020,74,97,62,92,7049,7637,CA,12/4/2020,68,88
CO,11/27/2020,13,18,14,29,1685,1798,CO,12/4/2020,13,17
CT,11/27/2020,7,9,9,15,1063,1233,CT,12/4/2020,2,3
DC,11/27/2020,2,2,5,18,186,223,DC,12/4/2020,0,0
DE,11/27/2020,2,3,5,10,228,241,DE,12/4/2020,2,3
FL,11/27/2020,6,24,16,38,3945,4384,FL,12/4/2020,9,30
GA,11/27/2020,33,41,9,33,1995,2295,GA,12/4/2020,36,42
HI,11/27/2020,1,2,0,0,57,64,HI,12/4/2020,2,3
IA,11/27/2020,6,10,5,7,1215,1228,IA,12/4/2020,5,7
ID,11/27/2020,5,9,5,7,417,441,ID,12/4/2020,7,9
IL,11/27/2020,44,47,30,61,5043,5990,IL,12/4/2020,44,46
IN,11/27/2020,29,42,16,30,2761,3370,IN,12/4/2020,27,39
KS,11/27/2020,48,60,0,5,1090,1280,KS,12/4/2020,45,57
KY,11/27/2020,4,9,11,25,1618,1787,KY,12/4/2020,5,9
LA,11/27/2020,46,50,8,6,1699,1022,LA,12/4/2020,47,49
MA,11/27/2020,6,6,22,30,844,1027,MA,12/4/2020,10,8
MD,11/27/2020,10,9,12,19,1485,1824,MD,12/4/2020,9,10
ME,11/27/2020,8,7,2,2,128,157,ME,12/4/2020,6,6
MI,11/27/2020,12,16,13,19,3710,4079,MI,12/4/2020,28,34
MN,11/27/2020,24,28,24,30,1779,1976,MN,12/4/2020,23,29
MO,11/27/2020,48,60,24,45,2356,2565,MO,12/4/2020,49,62
MS,11/27/2020,20,26,11,20,880,1005,MS,12/4/2020,19,31
MT,11/27/2020,21,21,4,4,459,473,MT,12/4/2020,19,18
NC,11/27/2020,5,8,15,27,1708,2001,NC,12/4/2020,5,6
ND,11/27/2020,21,22,6,9,403,440,ND,12/4/2020,22,21
NE,11/27/2020,20,34,10,10,927,945,NE,12/4/2020,17,29
NH,11/27/2020,7,8,1,1,118,150,NH,12/4/2020,5,8
NJ,11/27/2020,13,13,5,32,2739,2975,NJ,12/4/2020,13,13
NM,11/27/2020,17,20,9,34,740,763,NM,12/4/2020,20,22
NV,11/27/2020,11,13,4,8,1419,1506,NV,12/4/2020,9,16
NY,11/27/2020,18,17,31,101,3359,4003,NY,12/4/2020,19,20
OH,11/27/2020,34,49,35,85,4553,4925,OH,12/4/2020,40,57
OK,11/27/2020,47,56,27,31,1533,1567,OK,12/4/2020,49,57
OR,11/27/2020,4,3,8,10,519,601,OR,12/4/2020,4,6
PA,11/27/2020,29,32,50,74,4601,5124,PA,12/4/2020,31,33
PR,11/27/2020,0,0,0,27,396,598,PR,12/4/2020,0,0
RI,11/27/2020,3,3,4,4,367,394,RI,12/4/2020,3,3
SC,11/27/2020,26,32,3,6,781,884,SC,12/4/2020,25,31
SD,11/27/2020,11,15,3,7,499,518,SD,12/4/2020,11,13
TN,11/27/2020,27,31,15,23,2237,2376,TN,12/4/2020,27,35
TX,11/27/2020,147,181,61,94,8631,9156,TX,12/4/2020,157,190
UT,11/27/2020,8,7,0,7,541,560,UT,12/4/2020,7,7
VA,11/27/2020,28,37,10,12,1351,1633,VA,12/4/2020,27,36
VI,11/27/2020,1,2,0,0,0,0,VI,12/4/2020,1,2
VT,11/27/2020,1,1,0,0,20,22,VT,12/4/2020,1,1
WA,11/27/2020,14,20,9,15,840,936,WA,12/4/2020,16,24
WI,11/27/2020,58,60,5,12,1991,2091,WI,12/4/2020,57,57
WV,11/27/2020,16,20,3,7,563,603,WV,12/4/2020,20,22
WY,11/27/2020,6,8,0,0,220,227,WY,12/4/2020,6,7
AK,11/26/2020,5,6,1,2,147,158,AK,12/3/2020,5,6
AL,11/26/2020,32,37,10,17,1474,1628,AL,12/3/2020,33,38
AR,11/26/2020,37,43,6,18,906,1055,AR,12/3/2020,38,45
AZ,11/26/2020,32,36,18,27,1967,2389,AZ,12/3/2020,30,36
CA,11/26/2020,73,96,53,83,6720,7343,CA,12/3/2020,84,109
CO,11/26/2020,12,18,20,31,1648,1751,CO,12/3/2020,13,17
CT,11/26/2020,7,9,9,14,1028,1192,CT,12/3/2020,2,3
DC,11/26/2020,2,2,4,23,167,220,DC,12/3/2020,2,2
DE,11/26/2020,2,3,4,7,224,240,DE,12/3/2020,2,3
FL,11/26/2020,6,24,15,31,3889,4354,FL,12/3/2020,10,29
GA,11/26/2020,31,41,10,39,1976,2263,GA,12/3/2020,34,41
HI,11/26/2020,1,2,0,0,58,69,HI,12/3/2020,2,2
IA,11/26/2020,9,12,5,7,1228,1238,IA,12/3/2020,4,6
ID,11/26/2020,4,9,4,5,434,439,ID,12/3/2020,6,8
IL,11/26/2020,44,46,35,74,4990,6055,IL,12/3/2020,45,46
IN,11/26/2020,30,37,19,28,2672,3271,IN,12/3/2020,28,37
KS,11/26/2020,46,59,0,3,1081,1278,KS,12/3/2020,45,55
KY,11/26/2020,4,10,9,25,1612,1778,KY,12/3/2020,5,8
LA,11/26/2020,46,50,6,7,1654,999,LA,12/3/2020,46,49
MA,11/26/2020,6,6,19,25,799,994,MA,12/3/2020,9,8
MD,11/26/2020,10,9,12,20,1468,1817,MD,12/3/2020,8,10
ME,11/26/2020,7,7,0,0,121,376,ME,12/3/2020,7,6
MI,11/26/2020,11,15,14,18,3659,3995,MI,12/3/2020,28,30
MN,11/26/2020,23,27,31,36,1802,1958,MN,12/3/2020,26,31
MO,11/26/2020,49,58,25,54,2386,2622,MO,12/3/2020,49,63
MS,11/26/2020,19,26,11,16,875,1003,MS,12/3/2020,20,30
MT,11/26/2020,21,22,4,4,455,476,MT,12/3/2020,21,19
NC,11/26/2020,5,8,18,31,1678,2011,NC,12/3/2020,5,7
ND,11/26/2020,21,22,5,6,417,460,ND,12/3/2020,22,21
NE,11/26/2020,18,32,11,13,927,948,NE,12/3/2020,17,29
NH,11/26/2020,8,9,1,1,119,148,NH,12/3/2020,5,8
NJ,11/26/2020,12,13,8,33,2702,2973,NJ,12/3/2020,13,13
NM,11/26/2020,18,20,9,24,763,805,NM,12/3/2020,20,21
NV,11/26/2020,11,14,5,3,1422,1507,NV,12/3/2020,9,14
NY,11/26/2020,16,17,22,112,3222,3926,NY,12/3/2020,19,20
OH,11/26/2020,31,49,39,94,4427,4777,OH,12/3/2020,36,56
OK,11/26/2020,48,56,28,35,1527,1571,OK,12/3/2020,50,56
OR,11/26/2020,5,4,7,11,488,583,OR,12/3/2020,4,5
PA,11/26/2020,30,33,42,75,4471,5038,PA,12/3/2020,32,34
PR,11/26/2020,0,0,3,28,470,618,PR,12/3/2020,0,0
RI,11/26/2020,2,2,4,4,375,377,RI,12/3/2020,2,2
SC,11/26/2020,26,32,3,6,764,889,SC,12/3/2020,24,30
SD,11/26/2020,11,15,2,5,494,510,SD,12/3/2020,11,14
TN,11/26/2020,22,32,15,20,2159,2338,TN,12/3/2020,26,36
TX,11/26/2020,143,178,72,100,8537,9063,TX,12/3/2020,146,187
UT,11/26/2020,8,7,0,9,555,569,UT,12/3/2020,7,7
VA,11/26/2020,28,37,11,22,1286,1590,VA,12/3/2020,28,36
VI,11/26/2020,1,2,0,0,0,0,VI,12/3/2020,1,2
VT,11/26/2020,1,1,0,0,17,16,VT,12/3/2020,1,0
WA,11/26/2020,15,21,8,11,849,935,WA,12/3/2020,12,20
WI,11/26/2020,53,56,4,15,1947,2046,WI,12/3/2020,56,60
WV,11/26/2020,17,21,3,5,549,580,WV,12/3/2020,20,22
WY,11/26/2020,7,9,0,0,215,231,WY,12/3/2020,6,7
AK,11/25/2020,5,6,3,5,146,152,AK,12/2/2020,5,6
AL,11/25/2020,34,37,10,18,1499,1675,AL,12/2/2020,32,39
AR,11/25/2020,39,46,7,23,928,1072,AR,12/2/2020,39,47
AZ,11/25/2020,31,38,17,28,1902,2326,AZ,12/2/2020,30,35
CA,11/25/2020,77,96,63,95,6496,7136,CA,12/2/2020,85,108
CO,11/25/2020,13,18,20,29,1656,1788,CO,12/2/2020,13,17
CT,11/25/2020,7,9,10,16,1028,1199,CT,12/2/2020,3,4
DC,11/25/2020,2,2,4,21,168,226,DC,12/2/2020,2,2
DE,11/25/2020,2,3,4,6,217,236,DE,12/2/2020,2,2
FL,11/25/2020,6,24,21,33,3944,4454,FL,12/2/2020,9,29
GA,11/25/2020,32,41,11,46,1963,2276,GA,12/2/2020,35,41
HI,11/25/2020,1,2,0,1,55,60,HI,12/2/2020,1,2
IA,11/25/2020,9,14,9,12,1261,1279,IA,12/2/2020,4,7
ID,11/25/2020,6,9,4,6,449,465,ID,12/2/2020,6,8
IL,11/25/2020,43,45,35,87,5147,6269,IL,12/2/2020,43,43
IN,11/25/2020,29,38,17,35,2756,3365,IN,12/2/2020,30,37
KS,11/25/2020,47,60,3,4,1066,1234,KS,12/2/2020,46,57
KY,11/25/2020,4,8,9,23,1604,1812,KY,12/2/2020,5,10
LA,11/25/2020,45,50,6,6,1668,1028,LA,12/2/2020,47,49
MA,11/25/2020,6,6,13,24,784,981,MA,12/2/2020,9,9
MD,11/25/2020,10,8,10,15,1465,1814,MD,12/2/2020,8,10
ME,11/25/2020,10,8,1,1,114,141,ME,12/2/2020,7,7
MI,11/25/2020,16,16,20,27,3741,4065,MI,12/2/2020,24,25
MN,11/25/2020,24,26,31,34,1820,1953,MN,12/2/2020,23,29
MO,11/25/2020,52,60,32,68,2465,2744,MO,12/2/2020,47,61
MS,11/25/2020,18,26,13,25,869,999,MS,12/2/2020,20,29
MT,11/25/2020,20,21,4,4,462,491,MT,12/2/2020,22,20
NC,11/25/2020,5,8,19,38,1697,2029,NC,12/2/2020,1,2
ND,11/25/2020,21,23,5,7,431,464,ND,12/2/2020,21,22
NE,11/25/2020,18,33,11,13,928,941,NE,12/2/2020,19,31
NH,11/25/2020,7,9,1,1,115,158,NH,12/2/2020,5,7
NJ,11/25/2020,14,15,3,28,2755,2970,NJ,12/2/2020,14,14
NM,11/25/2020,17,19,6,25,772,809,NM,12/2/2020,19,21
NV,11/25/2020,10,15,6,6,1379,1494,NV,12/2/2020,10,13
NY,11/25/2020,18,17,33,138,3195,3906,NY,12/2/2020,18,20
OH,11/25/2020,34,48,28,88,4497,4893,OH,12/2/2020,32,56
OK,11/25/2020,47,56,31,32,1546,1599,OK,12/2/2020,48,56
OR,11/25/2020,5,6,6,14,468,576,OR,12/2/2020,3,6
PA,11/25/2020,30,32,37,82,4395,5087,PA,12/2/2020,32,35
PR,11/25/2020,9,10,8,32,460,621,PR,12/2/2020,10,10
RI,11/25/2020,2,2,5,5,365,365,RI,12/2/2020,3,3
SC,11/25/2020,26,32,2,3,733,861,SC,12/2/2020,25,31
SD,11/25/2020,11,15,3,7,545,556,SD,12/2/2020,11,14
TN,11/25/2020,29,34,16,22,2178,2354,TN,12/2/2020,25,32
TX,11/25/2020,149,183,76,136,8695,9336,TX,12/2/2020,147,181
UT,11/25/2020,8,7,1,13,558,573,UT,12/2/2020,7,7
VA,11/25/2020,28,37,11,25,1293,1592,VA,12/2/2020,28,36
VI,11/25/2020,1,2,0,0,0,0,VI,12/2/2020,1,2
VT,11/25/2020,1,1,0,0,21,25,VT,12/2/2020,0,0
WA,11/25/2020,13,20,7,9,835,936,WA,12/2/2020,16,25
WI,11/25/2020,55,58,6,20,2012,2146,WI,12/2/2020,56,60
WV,11/25/2020,18,21,2,3,552,600,WV,12/2/2020,20,22
WY,11/25/2020,6,8,0,1,225,242,WY,12/2/2020,6,8
AK,11/24/2020,5,6,0,1,135,142,AK,12/1/2020,5,6
AL,11/24/2020,32,37,9,19,1435,1529,AL,12/1/2020,33,37
AR,11/24/2020,38,43,7,20,922,1038,AR,12/1/2020,37,43
AZ,11/24/2020,28,35,11,26,1815,2212,AZ,12/1/2020,31,34
CA,11/24/2020,73,89,58,80,6219,6976,CA,12/1/2020,82,106
CO,11/24/2020,11,13,22,32,1602,1698,CO,12/1/2020,12,14
CT,11/24/2020,7,9,7,11,974,1166,CT,12/1/2020,7,9
DC,11/24/2020,2,2,4,21,156,222,DC,12/1/2020,2,2
DE,11/24/2020,1,1,4,6,210,226,DE,12/1/2020,1,1
FL,11/24/2020,6,27,17,32,3965,4495,FL,12/1/2020,8,25
GA,11/24/2020,32,41,13,50,1953,2335,GA,12/1/2020,33,43
HI,11/24/2020,1,2,0,2,65,73,HI,12/1/2020,1,2
IA,11/24/2020,9,14,7,14,1295,1316,IA,12/1/2020,7,10
ID,11/24/2020,5,7,3,3,436,454,ID,12/1/2020,4,6
IL,11/24/2020,41,43,35,91,5176,6169,IL,12/1/2020,45,46
IN,11/24/2020,27,34,10,30,2759,3348,IN,12/1/2020,28,37
KS,11/24/2020,45,57,4,8,1075,1209,KS,12/1/2020,45,57
KY,11/24/2020,2,4,2,18,1601,1756,KY,12/1/2020,3,7
LA,11/24/2020,45,50,7,20,1652,989,LA,12/1/2020,46,49
MA,11/24/2020,3,2,5,13,748,942,MA,12/1/2020,6,4
MD,11/24/2020,8,7,6,15,1419,1775,MD,12/1/2020,6,7
ME,11/24/2020,8,8,0,2,117,146,ME,12/1/2020,8,6
MI,11/24/2020,17,17,25,38,3739,4057,MI,12/1/2020,15,18
MN,11/24/2020,25,28,28,35,1839,2004,MN,12/1/2020,25,30
MO,11/24/2020,49,57,21,56,2435,2691,MO,12/1/2020,44,53
MS,11/24/2020,18,25,5,14,865,992,MS,12/1/2020,19,28
MT,11/24/2020,19,20,4,5,437,472,MT,12/1/2020,18,19
NC,11/24/2020,4,6,17,34,1647,2049,NC,12/1/2020,2,3
ND,11/24/2020,21,23,4,4,409,445,ND,12/1/2020,21,21
NE,11/24/2020,18,33,12,15,919,954,NE,12/1/2020,17,31
NH,11/24/2020,5,7,2,2,112,149,NH,12/1/2020,6,7
NJ,11/24/2020,11,11,13,31,2735,2976,NJ,12/1/2020,14,14
NM,11/24/2020,17,19,8,26,723,728,NM,12/1/2020,19,22
NV,11/24/2020,8,13,7,5,1347,1433,NV,12/1/2020,11,14
NY,11/24/2020,18,16,27,125,3122,3903,NY,12/1/2020,17,18
OH,11/24/2020,32,46,25,68,4492,4928,OH,12/1/2020,23,44
OK,11/24/2020,47,57,32,34,1521,1561,OK,12/1/2020,47,56
OR,11/24/2020,5,4,3,12,454,558,OR,12/1/2020,4,7
PA,11/24/2020,26,29,32,72,4296,4931,PA,12/1/2020,26,27
PR,11/24/2020,0,0,9,36,494,644,PR,12/1/2020,0,0
RI,11/24/2020,2,2,3,3,377,368,RI,12/1/2020,3,3
SC,11/24/2020,25,31,6,9,756,873,SC,12/1/2020,24,30
SD,11/24/2020,10,14,4,7,545,562,SD,12/1/2020,9,13
TN,11/24/2020,24,25,9,16,2201,2355,TN,12/1/2020,26,37
TX,11/24/2020,154,186,71,105,8625,9276,TX,12/1/2020,145,178
UT,11/24/2020,6,5,0,10,540,553,UT,12/1/2020,7,6
VA,11/24/2020,28,37,7,16,1216,1485,VA,12/1/2020,27,37
VI,11/24/2020,1,2,0,0,0,0,VI,12/1/2020,1,2
VT,11/24/2020,1,1,0,0,22,25,VT,12/1/2020,1,1
WA,11/24/2020,14,20,9,14,844,967,WA,12/1/2020,9,20
WI,11/24/2020,56,60,15,31,2106,2223,WI,12/1/2020,53,60
WV,11/24/2020,17,19,3,7,537,583,WV,12/1/2020,18,23
WY,11/24/2020,7,8,0,1,223,239,WY,12/1/2020,5,8
AK,11/23/2020,5,6,0,1,126,137,AK,11/30/2020,5,6
AL,11/23/2020,32,37,10,13,1433,1527,AL,11/30/2020,33,36
AR,11/23/2020,39,43,4,15,898,985,AR,11/30/2020,38,42
AZ,11/23/2020,27,33,12,24,1752,2096,AZ,11/30/2020,29,30
CA,11/23/2020,77,90,57,87,5855,6540,CA,11/30/2020,77,101
CO,11/23/2020,12,12,14,25,1549,1660,CO,11/30/2020,12,15
CT,11/23/2020,7,9,1,3,903,1096,CT,11/30/2020,7,9
DC,11/23/2020,2,2,5,22,163,216,DC,11/30/2020,2,2
DE,11/23/2020,1,1,4,6,218,242,DE,11/30/2020,1,1
FL,11/23/2020,9,30,19,39,3869,4408,FL,11/30/2020,8,24
GA,11/23/2020,30,40,11,55,1918,2224,GA,11/30/2020,32,42
HI,11/23/2020,1,2,0,0,67,73,HI,11/30/2020,1,2
IA,11/23/2020,7,10,8,9,1337,1359,IA,11/30/2020,6,10
ID,11/23/2020,6,8,1,1,446,452,ID,11/30/2020,4,6
IL,11/23/2020,42,44,38,93,5190,6125,IL,11/30/2020,43,47
IN,11/23/2020,25,30,11,23,2718,3254,IN,11/30/2020,26,31
KS,11/23/2020,46,60,4,8,1075,1202,KS,11/30/2020,44,57
KY,11/23/2020,2,5,5,12,1534,1676,KY,11/30/2020,1,6
