state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,state,date,critical_staffing_shortage_today_yes_wkLtr,critical_staffing_shortage_anticipated_within_week_yes
NY,3/31/2021,4,5,53,115,4833,5409,NY,4/7/2021,4,5
OH,3/31/2021,8,13,24,98,984,1353,OH,4/7/2021,11,17
OK,3/31/2021,31,36,27,31,246,291,OK,4/7/2021,26,31
OR,3/31/2021,4,5,5,9,143,201,OR,4/7/2021,2,4
PA,3/31/2021,19,24,33,55,2143,2544,PA,4/7/2021,18,20
PR,3/31/2021,7,7,5,17,191,221,PR,4/7/2021,7,8
RI,3/31/2021,3,3,3,3,132,165,RI,4/7/2021,4,4
SC,3/31/2021,22,22,2,5,439,471,SC,4/7/2021,21,21
SD,3/31/2021,1,1,1,4,66,94,SD,4/7/2021,1,2
TN,3/31/2021,17,35,13,17,788,886,TN,4/7/2021,15,33
TX,3/31/2021,104,122,60,91,2866,3432,TX,4/7/2021,107,119
UT,3/31/2021,0,0,0,6,128,136,UT,4/7/2021,0,0
VA,3/31/2021,16,23,12,22,861,1007,VA,4/7/2021,15,19
VI,3/31/2021,2,2,0,0,6,6,VI,4/7/2021,2,2
VT,3/31/2021,2,1,0,0,31,32,VT,4/7/2021,2,1
WA,3/31/2021,7,10,7,9,368,435,WA,4/7/2021,10,8
WI,3/31/2021,9,13,2,8,263,293,WI,4/7/2021,12,12
WV,3/31/2021,14,15,3,6,242,275,WV,4/7/2021,12,15
WY,3/31/2021,3,4,0,0,21,26,WY,4/7/2021,3,4
AK,3/30/2021,1,2,0,0,35,35,AK,4/6/2021,1,1
AL,3/30/2021,26,29,1,8,360,425,AL,4/6/2021,25,28
AR,3/30/2021,13,16,3,11,140,190,AR,4/6/2021,12,14
AZ,3/30/2021,27,26,10,19,359,549,AZ,4/6/2021,25,28
CA,3/30/2021,67,85,43,50,2240,2573,CA,4/6/2021,66,79
CO,3/30/2021,5,4,4,19,351,388,CO,4/6/2021,4,5
CT,3/30/2021,4,4,6,10,525,586,CT,4/6/2021,4,4
DC,3/30/2021,0,0,9,29,138,165,DC,4/6/2021,0,0
DE,3/30/2021,0,0,6,7,123,133,DE,4/6/2021,0,0
FL,3/30/2021,6,24,37,46,2981,3286,FL,4/6/2021,6,26
GA,3/30/2021,29,35,16,40,1158,1308,GA,4/6/2021,29,36
HI,3/30/2021,2,3,0,5,39,45,HI,4/6/2021,2,2
IA,3/30/2021,1,1,1,6,190,200,IA,4/6/2021,2,2
ID,3/30/2021,2,3,0,0,148,160,ID,4/6/2021,3,3
IL,3/30/2021,9,8,10,24,1220,1453,IL,4/6/2021,12,11
IN,3/30/2021,10,10,5,21,425,642,IN,4/6/2021,12,11
KS,3/30/2021,9,12,0,1,141,173,KS,4/6/2021,13,14
KY,3/30/2021,1,3,4,15,339,418,KY,4/6/2021,0,3
LA,3/30/2021,42,46,4,6,392,319,LA,4/6/2021,42,46
MA,3/30/2021,8,6,5,21,524,601,MA,4/6/2021,7,6
MD,3/30/2021,1,1,6,16,1020,1286,MD,4/6/2021,4,2
ME,3/30/2021,1,1,0,0,79,94,ME,4/6/2021,3,2
MI,3/30/2021,3,3,19,27,2300,2437,MI,4/6/2021,5,4
MN,3/30/2021,16,15,7,10,409,507,MN,4/6/2021,15,15
MO,3/30/2021,23,27,15,43,474,754,MO,4/6/2021,20,24
MS,3/30/2021,9,11,4,12,210,270,MS,4/6/2021,12,12
MT,3/30/2021,6,7,1,1,46,49,MT,4/6/2021,6,6
NC,3/30/2021,3,3,16,27,883,951,NC,4/6/2021,4,4
ND,3/30/2021,11,11,0,2,37,61,ND,4/6/2021,10,10
NE,3/30/2021,10,16,4,5,112,136,NE,4/6/2021,8,16
NH,3/30/2021,4,5,0,0,75,87,NH,4/6/2021,4,5
NJ,3/30/2021,6,5,9,28,2228,2395,NJ,4/6/2021,6,6
NM,3/30/2021,15,16,4,9,100,107,NM,4/6/2021,14,15
NV,3/30/2021,0,0,5,3,221,260,NV,4/6/2021,0,0
NY,3/30/2021,5,5,44,102,4816,5384,NY,4/6/2021,4,5
OH,3/30/2021,8,14,21,96,975,1271,OH,4/6/2021,12,17
OK,3/30/2021,29,32,30,33,261,305,OK,4/6/2021,25,29
OR,3/30/2021,3,2,4,9,141,202,OR,4/6/2021,2,2
PA,3/30/2021,19,22,27,88,2125,2503,PA,4/6/2021,16,21
PR,3/30/2021,0,0,9,18,187,210,PR,4/6/2021,0,0
RI,3/30/2021,3,3,2,2,138,174,RI,4/6/2021,4,4
SC,3/30/2021,20,20,5,5,453,485,SC,4/6/2021,20,20
SD,3/30/2021,0,0,2,9,66,89,SD,4/6/2021,1,2
TN,3/30/2021,17,37,13,16,809,899,TN,4/6/2021,15,33
TX,3/30/2021,104,122,63,96,2988,3492,TX,4/6/2021,101,119
UT,3/30/2021,1,0,0,6,125,130,UT,4/6/2021,0,0
VA,3/30/2021,15,22,14,25,856,1005,VA,4/6/2021,15,20
VI,3/30/2021,1,1,0,0,7,7,VI,4/6/2021,2,2
VT,3/30/2021,2,1,0,0,26,27,VT,4/6/2021,1,1
WA,3/30/2021,8,9,3,5,361,456,WA,4/6/2021,10,9
WI,3/30/2021,11,14,1,5,271,300,WI,4/6/2021,11,11
WV,3/30/2021,13,16,2,4,248,262,WV,4/6/2021,12,14
WY,3/30/2021,3,4,0,0,18,21,WY,4/6/2021,4,4
AK,3/29/2021,1,1,0,0,31,32,AK,4/5/2021,1,1
AL,3/29/2021,24,28,0,7,352,431,AL,4/5/2021,28,29
AR,3/29/2021,15,19,2,9,137,176,AR,4/5/2021,15,18
AZ,3/29/2021,26,28,5,12,370,559,AZ,4/5/2021,27,28
CA,3/29/2021,69,85,38,48,2234,2525,CA,4/5/2021,67,79
CO,3/29/2021,5,4,5,30,343,379,CO,4/5/2021,5,6
CT,3/29/2021,4,4,4,8,532,585,CT,4/5/2021,4,4
DC,3/29/2021,0,0,11,32,136,170,DC,4/5/2021,0,0
DE,3/29/2021,0,0,5,7,123,138,DE,4/5/2021,0,0
FL,3/29/2021,9,25,28,35,2989,3296,FL,4/5/2021,9,29
GA,3/29/2021,30,35,16,40,1154,1285,GA,4/5/2021,29,36
HI,3/29/2021,1,2,0,3,40,48,HI,4/5/2021,1,2
IA,3/29/2021,1,1,1,5,185,197,IA,4/5/2021,2,1
ID,3/29/2021,2,3,0,1,160,173,ID,4/5/2021,3,3
IL,3/29/2021,13,15,11,28,1197,1408,IL,4/5/2021,9,11
IN,3/29/2021,9,10,4,13,407,608,IN,4/5/2021,9,9
KS,3/29/2021,11,13,0,2,140,170,KS,4/5/2021,12,13
KY,3/29/2021,1,3,2,11,335,384,KY,4/5/2021,0,4
LA,3/29/2021,43,47,3,6,397,328,LA,4/5/2021,43,46
MA,3/29/2021,7,6,6,38,540,636,MA,4/5/2021,7,6
MD,3/29/2021,1,1,5,13,1022,1311,MD,4/5/2021,2,2
ME,3/29/2021,1,0,0,1,78,98,ME,4/5/2021,3,3
MI,3/29/2021,3,3,15,21,2170,2312,MI,4/5/2021,3,3
MN,3/29/2021,17,17,7,8,355,428,MN,4/5/2021,16,15
MO,3/29/2021,24,26,18,45,484,666,MO,4/5/2021,20,24
MS,3/29/2021,9,11,4,8,218,286,MS,4/5/2021,10,12
MT,3/29/2021,6,7,1,2,46,50,MT,4/5/2021,6,6
NC,3/29/2021,3,3,15,25,853,904,NC,4/5/2021,4,4
ND,3/29/2021,11,11,0,2,38,66,ND,4/5/2021,9,9
NE,3/29/2021,8,15,3,4,98,113,NE,4/5/2021,8,16
NH,3/29/2021,3,4,0,1,76,93,NH,4/5/2021,4,5
NJ,3/29/2021,5,7,11,27,2194,2369,NJ,4/5/2021,7,7
NM,3/29/2021,14,14,5,9,109,118,NM,4/5/2021,14,15
NV,3/29/2021,0,0,6,9,221,255,NV,4/5/2021,0,0
NY,3/29/2021,4,5,46,103,4863,5511,NY,4/5/2021,4,5
OH,3/29/2021,9,14,26,86,961,1333,OH,4/5/2021,11,17
OK,3/29/2021,30,35,30,33,268,308,OK,4/5/2021,28,32
OR,3/29/2021,3,2,3,8,148,205,OR,4/5/2021,2,2
PA,3/29/2021,18,21,22,72,1990,2296,PA,4/5/2021,17,23
PR,3/29/2021,0,0,5,16,154,195,PR,4/5/2021,0,0
RI,3/29/2021,3,3,1,1,124,163,RI,4/5/2021,3,3
SC,3/29/2021,20,20,5,6,473,507,SC,4/5/2021,20,20
SD,3/29/2021,1,1,0,7,60,83,SD,4/5/2021,1,2
TN,3/29/2021,15,35,9,11,787,881,TN,4/5/2021,13,31
TX,3/29/2021,105,123,60,88,3074,3584,TX,4/5/2021,105,125
UT,3/29/2021,0,0,0,7,127,131,UT,4/5/2021,0,0
VA,3/29/2021,16,23,15,26,860,998,VA,4/5/2021,17,21
VI,3/29/2021,2,2,0,0,5,5,VI,4/5/2021,2,2
VT,3/29/2021,1,1,0,0,25,26,VT,4/5/2021,1,1
WA,3/29/2021,7,9,4,7,338,416,WA,4/5/2021,11,10
WI,3/29/2021,9,14,1,6,250,271,WI,4/5/2021,9,10
WV,3/29/2021,13,16,3,5,236,254,WV,4/5/2021,13,15
WY,3/29/2021,3,4,0,0,14,20,WY,4/5/2021,4,4
AK,3/28/2021,1,1,1,1,32,33,AK,4/4/2021,1,1
AL,3/28/2021,24,27,5,7,368,489,AL,4/4/2021,26,28
AR,3/28/2021,13,16,2,10,148,202,AR,4/4/2021,15,18
AZ,3/28/2021,27,27,5,9,398,590,AZ,4/4/2021,26,28
