critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
8,16,116,98,3,3
4,4,82,70,0,0
8,10,2297,2114,29,5
15,15,114,111,8,5
0,0,266,225,4,2
4,5,5289,4789,99,41
10,16,1311,923,99,27
31,34,299,273,32,29
3,3,191,132,5,3
18,22,2232,1900,69,34
0,0,179,161,22,9
3,3,164,126,1,1
20,20,493,454,4,4
0,0,87,63,7,0
14,33,850,791,14,11
0,0,140,135,7,0
16,23,1058,855,26,13
2,2,4,4,0,0
1,1,27,26,0,0
3,5,403,339,8,5
6,11,283,265,7,1
15,16,259,229,1,1
3,4,20,16,0,0
1,1,26,22,1,1
26,27,473,353,7,5
13,17,205,149,9,3
27,27,586,377,7,4
70,82,2630,2298,56,48
5,4,408,357,17,8
4,4,532,490,7,4
0,0,168,137,36,12
0,0,141,127,5,3
9,27,3212,2866,31,28
28,33,1298,1147,50,14
1,2,51,42,0,0
1,1,205,185,6,6
3,4,161,159,0,0
13,14,1400,1162,31,13
11,11,621,428,18,6
10,12,184,150,3,1
1,5,401,340,10,4
43,47,331,406,8,3
10,9,648,551,26,8
1,1,1237,958,16,5
1,1,94,79,2,1
3,3,1829,1697,21,14
16,15,425,353,6,6
22,27,779,504,42,14
9,11,285,233,12,6
7,7,49,44,1,1
2,3,872,807,17,13
11,11,65,38,4,1
9,18,112,101,5,4
3,3,92,74,1,0
8,10,2240,2070,33,18
15,16,125,115,10,5
0,0,274,225,2,2
4,5,5303,4763,100,45
11,16,1333,919,87,21
30,33,307,264,29,28
3,3,175,130,8,2
18,21,2265,1861,60,33
0,0,171,166,20,9
3,3,157,120,1,1
20,20,500,458,5,5
0,0,76,43,6,0
13,32,834,766,12,11
0,0,145,137,8,0
15,22,999,836,26,11
2,2,2,2,0,0
1,1,24,24,0,0
4,4,410,336,12,7
7,11,276,253,5,1
15,16,241,223,2,1
3,4,17,16,0,0
2,2,26,24,5,1
27,29,458,379,11,10
12,15,209,157,9,0
25,27,595,391,11,6
63,84,2677,2370,64,51
6,5,420,374,20,7
4,4,539,475,8,5
0,0,146,132,29,10
0,0,141,123,3,2
12,28,3274,2935,38,29
30,36,1323,1163,30,13
1,1,46,35,1,0
1,1,206,198,5,2
3,4,162,159,0,0
11,13,1390,1131,29,11
11,12,647,447,16,7
11,12,169,144,2,1
1,3,420,358,12,3
42,47,350,418,4,2
10,9,649,550,40,7
2,2,1212,940,17,6
3,2,92,75,1,1
4,3,1928,1778,24,15
15,16,444,364,9,8
19,24,777,500,41,15
8,12,304,252,17,8
6,7,39,37,2,1
3,3,916,845,19,13
12,12,76,38,3,1
8,17,116,104,5,4
5,5,87,77,0,0
10,10,2225,2050,32,8
15,15,126,118,9,6
0,0,299,236,7,2
4,5,5378,4803,110,48
11,16,1281,943,95,22
32,34,330,274,36,30
2,3,144,107,8,3
19,22,2233,1834,56,30
0,0,172,158,21,7
4,4,163,125,2,2
20,20,524,479,9,9
2,2,72,52,2,0
12,32,855,782,15,12
0,0,138,133,8,0
16,23,1029,838,19,10
2,2,4,4,0,0
1,1,26,26,0,0
5,5,423,341,10,8
6,12,280,259,7,2
14,15,267,239,3,2
3,4,31,18,1,0
1,1,24,23,0,0
25,28,486,405,14,9
14,18,218,155,9,0
24,27,609,387,15,9
64,81,2747,2387,46,38
6,5,405,358,22,7
4,4,508,465,9,5
0,0,167,140,30,11
1,1,126,109,4,3
8,26,3171,2849,40,31
30,36,1377,1211,33,14
2,3,44,34,3,0
1,1,207,203,6,4
3,4,157,142,0,0
10,14,1325,1079,33,14
10,10,633,436,15,7
12,14,207,168,3,2
2,4,403,342,15,3
42,47,355,426,4,1
10,9,614,524,41,7
3,2,1073,801,9,2
3,2,90,75,1,1
3,3,1875,1724,18,12
19,19,435,352,12,9
20,24,786,503,38,15
9,11,305,258,16,9
6,6,48,44,3,1
4,3,921,853,22,16
11,11,69,35,3,1
8,17,112,104,5,4
4,5,77,70,0,0
9,10,2230,2073,37,5
15,15,140,124,11,4
0,0,287,256,3,1
4,5,5425,4846,113,51
10,15,1356,919,115,33
31,34,350,286,32,28
3,3,167,134,6,1
19,22,2192,1781,41,24
0,0,175,143,17,7
4,4,159,123,2,2
21,21,508,474,12,12
2,3,73,48,1,0
12,33,831,751,14,11
0,0,129,124,8,0
15,23,1021,805,16,9
2,2,5,5,0,0
1,1,25,25,0,0
7,8,399,330,12,10
9,15,297,271,6,2
13,14,275,246,3,2
3,4,24,17,0,0
1,1,31,29,0,0
28,29,507,408,11,10
14,18,217,156,5,0
25,26,631,419,16,10
66,80,2825,2463,48,37
6,5,368,317,23,4
4,4,495,446,6,4
0,0,175,147,33,11
1,1,113,104,5,3
10,27,3268,2931,45,37
30,36,1407,1204,25,9
1,2,46,36,3,1
2,2,211,204,8,3
3,4,157,149,1,1
11,12,1297,1028,46,19
11,12,628,420,12,6
13,15,212,180,5,2
2,4,423,362,7,2
42,46,369,449,7,4
10,9,604,530,31,7
3,3,1177,904,10,5
3,1,101,82,0,0
3,3,1754,1626,30,15
