critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
47,54,1633,1623,36,30
6,8,657,543,9,5
30,35,6392,5866,58,26
0,0,625,499,28,4
2,2,447,406,12,12
23,32,1130,1021,11,11
10,13,470,466,6,5
28,43,2784,2587,26,19
6,6,571,555,14,1
29,38,1856,1537,25,13
1,2,2,1,0,0
0,1,33,27,1,1
13,20,1114,1024,15,13
54,57,1818,1752,15,5
20,21,712,693,2,1
6,7,206,199,2,1
5,7,161,146,4,4
34,38,2124,1940,24,17
38,44,1135,966,24,15
28,34,3147,2633,15,10
12,17,1765,1641,32,20
2,3,1358,1201,12,12
0,0,212,187,27,8
2,3,384,356,11,9
10,31,4908,4397,45,30
37,43,2851,2486,47,13
2,3,49,41,0,0
5,8,928,915,5,3
7,8,448,439,7,6
42,44,5329,4622,84,35
30,40,3208,2856,32,16
44,56,1200,1051,7,6
4,8,1771,1612,12,9
47,50,1314,2070,7,5
9,10,1429,1269,32,14
9,9,1915,1521,21,14
5,6,213,179,0,0
30,32,4017,3693,29,23
23,28,1753,1597,30,24
46,62,2554,2325,43,19
22,32,1130,983,13,5
17,17,388,377,4,1
5,6,2489,2080,35,16
22,21,384,346,9,4
15,28,814,788,5,5
5,7,225,173,0,0
14,14,3495,3195,24,6
22,22,873,833,16,6
12,16,1813,1720,9,24
19,19,5485,4767,107,43
39,68,5459,5120,77,40
45,54,1628,1600,32,30
5,5,664,556,10,5
26,30,6356,5738,92,57
0,0,650,431,36,3
3,3,433,389,15,15
24,31,1085,991,9,7
13,15,489,473,5,5
24,33,2726,2566,15,14
6,7,579,558,15,2
27,36,1833,1489,39,14
1,2,3,2,0,0
0,1,24,22,0,0
13,23,1094,999,15,13
59,59,1763,1689,9,1
20,20,686,657,1,1
6,7,216,208,2,1
5,6,158,148,5,4
34,38,2056,1879,35,21
39,44,1151,963,27,17
31,37,3059,2568,26,14
13,17,1832,1690,34,20
2,3,1334,1187,14,11
0,0,209,187,16,7
2,3,384,348,15,10
9,30,4899,4433,44,28
37,43,2759,2428,49,14
1,3,51,47,0,0
4,8,961,931,12,6
7,8,456,453,2,2
42,43,5306,4588,87,37
30,40,3177,2862,27,16
42,57,1197,1090,9,8
5,10,1746,1580,18,7
47,50,1273,2006,13,7
10,9,1353,1176,21,11
9,10,1965,1540,30,17
5,6,209,169,1,1
28,33,4021,3703,26,17
24,29,1803,1614,25,19
47,63,2602,2362,44,13
22,32,1085,942,10,5
18,17,381,376,4,2
5,7,2419,2043,32,15
22,21,385,347,9,5
17,29,794,770,8,5
5,7,206,158,1,1
12,11,3394,3090,34,11
20,22,765,748,12,5
11,16,1756,1680,5,21
19,19,5430,4600,114,40
38,55,5382,5029,72,40
44,52,1619,1595,27,24
4,6,650,544,12,6
28,32,6286,5646,110,60
0,0,658,487,28,2
3,3,423,384,13,13
24,32,1034,916,6,5
13,14,493,471,3,3
25,34,2640,2457,32,24
7,7,583,562,15,1
27,36,1779,1449,22,13
1,2,3,2,0,0
0,1,25,22,0,0
14,24,1064,967,16,12
58,59,1830,1754,12,3
19,21,687,663,2,1
6,7,226,220,0,0
5,6,161,148,5,4
35,38,2045,1872,26,21
39,45,1143,960,35,17
31,36,3022,2566,30,19
13,17,1863,1711,39,17
2,3,1321,1160,16,12
0,0,245,219,27,12
2,3,361,329,12,10
9,30,5012,4506,46,29
36,42,2696,2372,51,17
2,3,63,52,1,0
5,7,995,964,11,11
7,9,469,457,2,2
44,46,5471,4757,95,40
27,39,3229,2899,35,23
45,57,1240,1107,11,7
5,9,1801,1630,13,6
47,49,1242,2026,17,11
10,8,1368,1198,24,10
9,10,1996,1570,27,19
6,6,193,165,2,2
28,34,4136,3801,32,21
23,29,1802,1651,29,22
49,62,2582,2380,51,20
19,31,1100,960,16,9
19,18,408,394,5,3
5,6,2413,2015,25,12
22,21,399,360,10,5
17,29,861,837,6,5
5,8,186,137,0,0
13,13,3401,3114,35,16
20,22,836,818,71,7
9,16,1810,1671,10,23
19,20,5145,4482,90,37
40,57,5541,5164,83,35
49,57,1672,1624,27,26
4,6,631,541,13,3
31,33,6222,5618,85,48
0,0,672,520,31,4
3,3,418,379,12,12
25,31,1039,906,10,7
11,13,512,482,2,2
27,35,2657,2489,34,25
7,7,605,586,16,3
27,36,1805,1424,21,13
1,2,3,2,0,0
1,1,33,31,0,0
16,24,1037,966,16,13
57,57,1924,1852,14,4
20,22,701,678,6,5
6,7,228,222,0,0
5,6,145,132,6,4
33,38,2011,1819,38,23
38,45,1168,989,33,15
30,36,2979,2512,26,15
13,17,1988,1832,29,18
2,3,1321,1168,12,10
2,2,237,216,27,11
2,3,341,322,11,10
10,29,4947,4396,43,30
34,41,2666,2329,65,20
2,2,60,54,0,0
4,6,1025,1007,8,7
6,8,456,445,4,2
45,46,5494,4793,86,41
28,37,3263,2905,32,22
45,55,1225,1103,6,5
5,8,1871,1681,21,8
46,49,1233,1951,17,12
9,8,1336,1170,15,7
8,10,2007,1571,22,13
7,6,183,143,1,1
28,30,4146,3829,30,18
26,31,1849,1696,27,22
49,63,2675,2426,51,19
20,30,1113,958,10,7
21,19,393,395,5,4
5,7,2440,1992,32,12
22,21,431,393,11,6
17,29,878,860,13,11
5,8,188,150,1,0
13,13,3458,3156,22,5
20,21,873,841,16,5
9,14,1696,1643,2,19
19,20,5073,4387,86,34
36,56,5612,5226,80,35
50,56,1662,1620,25,19
4,5,637,532,6,1
32,34,6249,5542,82,54
0,0,658,490,23,2
2,2,441,408,9,9
24,30,1020,902,13,8
11,14,513,488,2,2
26,36,2685,2493,37,27
7,7,587,573,15,2
28,36,1795,1417,31,15
1,2,3,2,0,0
1,0,36,31,0,0
12,20,1045,962,17,14
56,60,2016,1943,15,4
20,22,706,669,7,4
6,7,241,224,0,0
5,6,152,140,5,4
32,39,1994,1798,23,19
39,47,1155,986,33,16
30,35,2881,2403,39,18
13,17,2015,1852,26,15
3,4,1351,1209,13,10
2,2,219,198,23,10
2,2,323,300,10,9
9,29,4969,4418,50,33
35,41,2640,2314,51,20
1,2,56,52,0,0
4,7,1138,1112,14,10
6,8,474,455,3,3
43,43,5697,4961,75,38
30,37,3359,2968,32,21
46,57,1282,1077,8,4
5,10,1884,1688,20,6
47,49,1200,1913,15,9
9,9,1300,1104,21,10
8,10,1968,1555,23,16
7,7,185,145,0,0
24,25,4268,3895,27,19
23,29,1974,1788,24,20
47,61,2669,2439,66,27
20,29,1080,930,13,9
22,20,423,416,8,3
1,2,2397,1954,37,13
21,22,436,395,10,5
19,31,911,872,12,12
5,7,204,151,1,0
14,14,3430,3122,35,10
19,21,852,847,20,7
10,13,1675,1575,5,13
18,20,5078,4229,97,30
32,56,5602,5268,76,40
48,56,1683,1652,25,22
3,6,656,560,9,4
32,35,6248,5544,78,50
10,10,666,487,22,2
3,3,445,413,9,9
25,31,1043,919,10,9
11,14,534,512,4,4
25,32,2642,2483,28,24
7,7,589,580,15,1
28,36,1820,1416,29,15
1,2,2,2,0,0
0,0,34,26,1,0
16,25,1066,955,15,12
56,60,2043,1938,10,3
20,22,706,652,6,5
6,8,247,236,0,0
5,6,162,148,2,2
33,37,1892,1780,25,20
37,43,1076,952,14,5
31,34,2717,2302,26,13
12,14,1930,1794,20,16
7,9,1393,1210,11,8
2,2,216,183,23,9
1,1,324,297,6,5
8,25,4977,4433,54,35
33,43,2576,2259,51,21
1,2,62,56,1,0
7,10,1156,1131,11,9
4,6,494,468,3,2
45,46,5796,5078,84,34
28,37,3433,2990,24,9
45,57,1235,1108,5,2
3,7,1781,1652,18,6
46,49,1208,1904,15,9
6,4,1188,1009,21,10
6,7,1932,1535,12,5
8,6,184,145,3,2
15,18,4318,3960,24,16
25,30,1999,1824,23,19
44,53,2756,2503,47,20
19,28,1051,915,16,9
18,19,445,442,5,3
2,3,2364,1928,36,12
21,21,443,395,8,5
17,31,896,859,12,13
6,7,192,153,1,0
14,14,3365,3117,28,8
19,22,863,863,22,8
11,14,1656,1596,9,13
17,18,4862,3984,85,28
23,44,5630,5262,69,33
47,56,1692,1636,28,28
4,7,656,561,14,7
26,27,5756,5156,57,28
0,0,665,481,24,2
3,3,463,430,7,7
24,30,972,879,14,10
9,13,519,502,5,4
26,37,2674,2479,31,25
7,6,560,560,15,2
27,37,1735,1392,28,12
1,2,2,2,0,0
1,1,36,29,0,0
9,20,1045,941,16,10
53,60,2095,2001,14,5
18,23,708,658,5,3
5,8,247,234,0,0
5,6,149,140,2,2
33,36,1858,1733,19,15
38,42,1070,944,18,4
29,30,2618,2230,25,11
12,15,1886,1774,28,18
7,9,1340,1163,8,7
2,2,204,180,19,8
1,1,299,272,4,3
8,24,4796,4341,45,23
32,42,2512,2203,59,13
1,2,60,57,2,0
6,10,1172,1169,7,5
4,6,463,454,3,3
43,47,5842,5128,66,29
26,31,3442,2936,26,12
44,57,1235,1097,4,0
1,6,1795,1686,13,2
47,49,1188,1884,11,8
6,4,1122,964,22,12
6,7,1948,1534,8,5
7,6,172,145,3,1
11,17,4337,3922,24,18
24,29,2038,1878,19,16
47,56,2708,2496,50,22
20,27,1087,943,15,7
19,20,451,443,5,4
6,7,2194,1884,20,11
21,21,448,404,11,6
18,32,906,890,13,13
5,7,178,149,0,0
12,14,3187,2986,23,6
19,20,852,834,19,6
13,14,1603,1543,2,8
18,18,4534,3818,90,28
31,49,5406,5076,70,30
49,58,1650,1607,31,30
4,5,668,565,17,9
26,28,5621,5068,64,25
0,0,635,447,28,1
2,2,447,415,6,6
24,30,944,858,10,7
10,13,533,516,5,4
27,36,2579,2388,24,20
7,6,557,547,10,0
27,36,1694,1389,29,9
1,2,2,2,0,0
1,1,25,21,0,0
15,22,1046,938,12,8
58,56,2133,2046,11,6
17,21,676,624,6,3
7,9,254,242,0,0
5,6,159,147,3,2
33,36,1832,1641,21,11
36,41,1094,935,14,7
28,31,2574,2127,26,12
13,18,1872,1771,15,7
7,9,1277,1118,9,7
2,2,201,180,22,6
1,2,289,271,8,5
7,24,4680,4219,39,25
33,41,2512,2163,43,12
2,3,65,57,1,0
6,11,1170,1161,6,5
5,9,451,429,4,3
40,44,5939,5051,49,29
31,39,3375,2820,33,15
46,59,1254,1080,2,0
4,10,1804,1633,30,11
47,49,1115,1836,8,7
6,6,1143,961,29,20
10,9,1900,1575,18,14
7,7,174,142,1,1
10,15,4069,3765,27,20
26,29,2030,1893,29,24
46,58,2618,2424,52,28
21,26,1042,908,22,14
22,21,447,436,3,3
7,8,2172,1839,31,18
22,22,451,407,7,2
17,32,920,881,11,11
6,8,180,142,0,0
15,15,3179,2915,27,11
17,19,823,806,18,7
12,14,1597,1489,5,7
17,17,4322,3674,91,27
34,51,5273,4932,73,35
49,57,1618,1550,34,33
3,4,654,542,13,7
30,30,5560,4910,65,35
0,0,620,453,27,0
2,3,431,399,5,5
26,32,928,808,3,3
11,15,532,511,5,2
28,38,2513,2330,19,17
8,7,559,541,9,0
28,37,1694,1344,15,8
1,2,1,1,0,0
1,1,22,18,0,0
14,21,971,884,10,7
63,62,2080,1982,10,3
18,21,693,619,7,4
6,9,245,239,0,0
5,6,155,147,4,2
32,36,1793,1599,14,8
36,41,1054,899,13,6
29,35,2510,2061,25,12
12,18,1826,1710,27,12
7,9,1254,1088,12,6
2,2,214,170,19,6
1,2,245,233,6,4
6,24,4602,4083,37,22
33,41,2354,2029,47,11
2,3,63,56,1,0
6,10,1180,1165,11,8
5,8,450,431,2,2
44,47,5943,5037,50,26
29,40,3352,2784,31,15
47,60,1283,1076,6,0
5,9,1779,1603,21,11
47,50,1080,1781,14,9
6,6,1052,876,25,18
11,10,1864,1519,22,15
8,7,158,131,2,1
10,15,4132,3762,26,18
25,28,2014,1863,29,21
49,60,2588,2371,49,24
19,26,1020,900,17,12
22,21,466,454,4,4
5,7,2061,1747,33,19
22,22,450,410,7,3
19,32,917,895,10,10
6,8,161,131,0,0
12,13,3031,2768,23,5
18,21,833,815,18,7
13,13,1559,1452,4,16
17,17,4166,3503,93,25
34,52,5129,4507,80,35
50,58,1582,1534,32,31
3,3,605,516,9,6
30,31,5340,4746,83,48
0,0,590,444,26,2
2,3,415,388,5,5
26,32,935,800,7,5
11,15,526,504,6,4
28,36,2364,2219,21,18
8,7,537,521,7,0
28,37,1671,1322,19,9
1,2,1,1,0,0
1,1,19,16,1,0
14,21,960,850,10,6
63,63,2068,1935,12,4
16,19,628,578,8,4
7,9,229,222,0,0
5,6,150,141,5,2
32,36,1727,1539,14,9
36,41,1054,910,14,3
28,33,2426,2056,23,11
13,18,1798,1685,29,14
7,9,1233,1063,15,9
2,2,223,186,18,5
2,3,241,228,10,5
6,24,4384,3945,38,16
33,41,2295,1995,33,9
1,2,64,57,0,0
6,10,1228,1215,7,5
5,9,441,417,7,5
44,47,5990,5043,61,30
29,42,3370,2761,30,16
48,60,1280,1090,5,0
4,9,1787,1618,25,11
46,50,1022,1699,6,8
6,6,1027,844,30,22
10,9,1824,1485,19,12
8,7,157,128,2,2
12,16,4079,3710,19,13
24,28,1976,1779,30,24
48,60,2565,2356,45,24
20,26,1005,880,20,11
21,21,473,459,4,4
5,8,2001,1708,27,15
21,22,440,403,9,6
20,34,945,927,10,10
7,8,150,118,1,1
13,13,2975,2739,32,5
17,20,763,740,34,9
11,13,1506,1419,8,4
18,17,4003,3359,101,31
34,49,4925,4553,85,35
47,56,1567,1533,31,27
4,3,601,519,10,8
29,32,5124,4601,74,50
0,0,598,396,27,0
3,3,394,367,4,4
26,32,884,781,6,3
11,15,518,499,7,3
27,31,2376,2237,23,15
8,7,560,541,7,0
28,37,1633,1351,12,10
1,2,0,0,0,0
1,1,22,20,0,0
14,20,936,840,15,9
58,60,2091,1991,12,5
16,20,603,563,7,3
6,8,227,220,0,0
5,6,158,147,2,1
32,37,1628,1474,17,10
37,43,1055,906,18,6
32,36,2389,1967,27,18
73,96,7343,6720,83,53
12,18,1751,1648,31,20
7,9,1192,1028,14,9
2,2,220,167,23,4
2,3,240,224,7,4
6,24,4354,3889,31,15
31,41,2263,1976,39,10
1,2,69,58,0,0
9,12,1238,1228,7,5
4,9,439,434,5,4
44,46,6055,4990,74,35
30,37,3271,2672,28,19
46,59,1278,1081,3,0
4,10,1778,1612,25,9
46,50,999,1654,7,6
6,6,994,799,25,19
10,9,1817,1468,20,12
7,7,376,121,0,0
11,15,3995,3659,18,14
23,27,1958,1802,36,31
49,58,2622,2386,54,25
19,26,1003,875,16,11
21,22,476,455,4,4
5,8,2011,1678,31,18
21,22,460,417,6,5
18,32,948,927,13,11
8,9,148,119,1,1
12,13,2973,2702,33,8
18,20,805,763,24,9
11,14,1507,1422,3,5
16,17,3926,3222,112,22
31,49,4777,4427,94,39
48,56,1571,1527,35,28
5,4,583,488,11,7
30,33,5038,4471,75,42
0,0,618,470,28,3
2,2,377,375,4,4
26,32,889,764,6,3
11,15,510,494,5,2
22,32,2338,2159,20,15
8,7,569,555,9,0
28,37,1590,1286,22,11
1,2,0,0,0,0
1,1,16,17,0,0
15,21,935,849,11,8
53,56,2046,1947,15,4
17,21,580,549,5,3
7,9,231,215,0,0
5,6,152,146,5,3
34,37,1675,1499,18,10
39,46,1072,928,23,7
31,38,2326,1902,28,17
77,96,7136,6496,95,63
13,18,1788,1656,29,20
7,9,1199,1028,16,10
2,2,226,168,21,4
2,3,236,217,6,4
6,24,4454,3944,33,21
32,41,2276,1963,46,11
1,2,60,55,1,0
9,14,1279,1261,12,9
6,9,465,449,6,4
43,45,6269,5147,87,35
29,38,3365,2756,35,17
47,60,1234,1066,4,3
4,8,1812,1604,23,9
45,50,1028,1668,6,6
6,6,981,784,24,13
10,8,1814,1465,15,10
10,8,141,114,1,1
16,16,4065,3741,27,20
24,26,1953,1820,34,31
52,60,2744,2465,68,32
18,26,999,869,25,13
20,21,491,462,4,4
5,8,2029,1697,38,19
21,23,464,431,7,5
18,33,941,928,13,11
7,9,158,115,1,1
14,15,2970,2755,28,3
17,19,809,772,25,6
10,15,1494,1379,6,6
18,17,3906,3195,138,33
34,48,4893,4497,88,28
47,56,1599,1546,32,31
5,6,576,468,14,6
30,32,5087,4395,82,37
9,10,621,460,32,8
2,2,365,365,5,5
26,32,861,733,3,2
11,15,556,545,7,3
29,34,2354,2178,22,16
8,7,573,558,13,1
28,37,1592,1293,25,11
1,2,0,0,0,0
1,1,25,21,0,0
13,20,936,835,9,7
55,58,2146,2012,20,6
18,21,600,552,3,2
6,8,242,225,1,0
5,6,142,135,1,0
32,37,1529,1435,19,9
38,43,1038,922,20,7
28,35,2212,1815,26,11
73,89,6976,6219,80,58
11,13,1698,1602,32,22
7,9,1166,974,11,7
2,2,222,156,21,4
1,1,226,210,6,4
6,27,4495,3965,32,17
32,41,2335,1953,50,13
1,2,73,65,2,0
9,14,1316,1295,14,7
5,7,454,436,3,3
41,43,6169,5176,91,35
27,34,3348,2759,30,10
45,57,1209,1075,8,4
2,4,1756,1601,18,2
45,50,989,1652,20,7
3,2,942,748,13,5
8,7,1775,1419,15,6
8,8,146,117,2,0
17,17,4057,3739,38,25
25,28,2004,1839,35,28
49,57,2691,2435,56,21
18,25,992,865,14,5
19,20,472,437,5,4
4,6,2049,1647,34,17
21,23,445,409,4,4
18,33,954,919,15,12
5,7,149,112,2,2
11,11,2976,2735,31,13
17,19,728,723,26,8
8,13,1433,1347,5,7
18,16,3903,3122,125,27
32,46,4928,4492,68,25
47,57,1561,1521,34,32
5,4,558,454,12,3
26,29,4931,4296,72,32
0,0,644,494,36,9
2,2,368,377,3,3
25,31,873,756,9,6
10,14,562,545,7,4
24,25,2355,2201,16,9
6,5,553,540,10,0
28,37,1485,1216,16,7
1,2,0,0,0,0
1,1,25,22,0,0
14,20,967,844,14,9
56,60,2223,2106,31,15
17,19,583,537,7,3
7,8,239,223,1,0
5,6,137,126,1,0
32,37,1527,1433,13,10
39,43,985,898,15,4
27,33,2096,1752,24,12
77,90,6540,5855,87,57
12,12,1660,1549,25,14
7,9,1096,903,3,1
2,2,216,163,22,5
1,1,242,218,6,4
9,30,4408,3869,39,19
30,40,2224,1918,55,11
1,2,73,67,0,0
7,10,1359,1337,9,8
6,8,452,446,1,1
42,44,6125,5190,93,38
25,30,3254,2718,23,11
46,60,1202,1075,8,4
2,5,1676,1534,12,5
45,49,965,1637,12,6
3,2,929,759,16,8
6,6,1713,1340,13,7
8,8,143,108,1,0
15,19,4057,3680,29,22
27,28,2000,1850,29,27
48,57,2700,2476,49,21
19,24,988,861,13,6
19,18,450,421,2,2
4,6,1975,1634,33,18
21,23,467,422,5,4
17,33,972,948,12,12
5,7,143,109,1,1
12,12,2880,2675,25,6
19,20,773,767,27,11
9,13,1416,1303,5,8
16,15,3670,2988,129,27
30,42,4798,4394,80,26
47,59,1528,1514,37,37
4,5,518,437,18,4
28,30,4648,4088,57,25
0,0,635,456,24,6
3,3,180,193,2,2
25,31,836,750,10,7
11,14,561,550,9,7
21,30,2325,2144,21,11
6,5,559,549,15,0
28,38,1457,1170,24,9
1,2,0,0,0,0
1,1,18,15,0,0
16,21,906,816,15,12
54,62,2255,2107,18,7
17,20,534,510,6,4
7,9,226,211,3,1
4,5,140,127,2,1
32,35,1542,1364,12,8
36,41,1030,875,18,10
30,35,2024,1656,26,12
74,92,6192,5484,92,59
12,13,1636,1515,25,15
7,9,1039,886,3,3
2,2,220,156,17,5
2,3,222,207,4,4
11,31,4228,3699,32,18
32,40,2240,1903,66,33
1,2,81,74,0,0
8,11,1346,1326,10,6
8,11,442,425,8,6
39,41,6182,5084,73,31
24,30,3180,2669,35,15
47,61,1250,1063,6,1
3,9,1632,1475,33,12
45,49,919,1563,15,8
5,5,956,731,22,13
8,8,1702,1253,18,13
8,8,136,96,0,0
16,17,3907,3543,27,19
23,27,1989,1823,27,24
51,62,2667,2432,67,43
16,23,973,836,18,13
21,19,449,423,3,3
6,7,1942,1542,29,16
23,23,481,433,3,2
14,28,987,961,14,14
4,7,143,109,1,1
12,12,2822,2585,19,2
18,21,780,743,22,11
10,12,1314,1249,7,6
15,16,3522,2843,125,26
31,46,4575,4224,75,29
47,57,1529,1472,36,36
3,5,525,429,9,3
31,33,4565,3951,125,56
0,0,630,468,26,6
2,2,302,315,4,4
25,31,848,718,10,9
10,14,566,542,7,4
19,26,2260,2094,15,8
8,7,552,540,14,0
31,41,1489,1154,12,6
1,2,1,1,0,0
2,1,18,17,0,0
10,20,870,775,16,12
54,62,2209,2105,20,7
16,20,533,475,9,5
7,9,235,220,3,2
4,5,135,122,1,0
32,35,1520,1320,18,8
37,42,1028,865,15,9
32,33,1934,1572,22,12
72,91,5879,5198,83,55
12,13,1644,1513,33,14
7,9,1001,856,6,5
2,2,214,156,20,5
2,3,225,208,2,2
11,31,4141,3578,33,19
30,40,2188,1839,53,8
2,3,94,77,1,0
9,11,1374,1328,19,12
8,10,423,398,9,7
42,43,6186,5092,71,37
26,34,3132,2621,29,12
46,59,1221,1023,9,3
3,10,1582,1420,35,11
45,49,890,1530,14,7
5,5,927,719,20,12
9,9,1613,1213,20,14
8,8,131,92,2,0
15,17,3876,3496,20,15
23,27,1974,1799,27,22
49,62,2664,2429,68,48
16,24,966,816,17,14
21,21,448,419,3,3
5,6,1891,1523,35,16
23,23,467,434,4,3
15,29,973,946,16,14
4,6,141,104,1,1
11,12,2724,2478,30,10
20,21,780,739,26,12
11,14,1285,1202,2,6
15,16,3476,2720,113,22
31,47,4322,3994,83,31
49,56,1511,1449,35,34
3,5,592,434,12,3
29,31,4422,3817,100,50
0,0,634,490,37,7
1,1,312,325,4,4
25,31,805,688,12,11
10,13,561,536,8,4
20,27,2203,2060,14,10
8,7,567,534,15,0
31,41,1454,1096,17,6
1,2,2,2,0,0
2,1,14,13,0,0
15,21,890,776,16,11
58,64,2231,2130,15,5
16,19,491,450,5,4
6,8,241,222,1,1
4,5,123,111,2,2
32,36,1468,1335,15,4
38,45,992,853,13,8
31,34,1885,1539,22,15
72,87,5674,4989,81,53
12,14,1696,1514,36,21
7,9,1015,864,7,5
2,2,205,142,17,5
2,3,227,200,4,2
10,29,4112,3579,38,22
29,39,2193,1836,40,8
1,2,80,74,0,0
8,10,1384,1398,21,15
8,12,426,409,7,7
43,43,6232,5224,80,38
25,36,3153,2655,30,13
48,60,1217,1004,10,6
3,9,1571,1396,40,13
45,49,870,1504,10,7
5,5,902,718,21,13
10,10,1574,1165,16,12
8,7,129,94,1,1
17,19,3883,3514,20,13
27,27,1990,1830,33,25
53,67,2771,2490,74,44
16,24,966,805,20,14
19,18,459,432,3,3
6,9,1900,1524,42,19
23,23,480,443,6,3
17,30,1003,977,15,9
5,7,141,106,1,1
11,10,2684,2401,31,10
20,22,783,739,29,14
9,13,1308,1198,7,5
16,16,3339,2627,115,24
32,45,4365,3996,84,31
47,54,1499,1445,39,37
4,6,516,416,9,3
28,31,4357,3768,99,50
0,0,625,483,34,4
3,3,312,322,4,4
25,31,790,675,8,8
11,14,572,559,9,3
24,29,2229,2066,23,9
8,7,587,565,16,1
30,41,1434,1101,16,5
1,2,1,1,0,0
1,1,17,15,0,0
12,15,853,740,16,8
65,68,2340,2211,20,6
17,19,475,437,3,3
7,9,231,220,1,1
4,5,127,113,1,1
34,37,1482,1319,14,6
38,44,979,830,16,9
30,33,1798,1484,17,16
65,85,5432,4773,70,42
11,12,1637,1472,38,21
7,9,1011,863,5,4
2,2,205,145,27,4
1,2,225,203,2,2
11,31,4124,3531,34,23
29,40,2194,1822,51,6
1,2,80,70,0,0
9,10,1459,1434,17,8
8,12,465,413,7,4
39,43,6169,5188,74,37
27,32,3052,2591,28,11
47,58,1144,995,5,4
4,9,1599,1431,41,9
46,49,890,1516,11,7
5,5,923,740,23,13
10,10,1604,1146,16,13
7,7,123,93,3,1
17,18,3800,3415,19,15
26,28,1963,1808,33,22
52,65,2783,2487,80,46
16,24,910,774,22,14
20,19,466,435,3,3
4,6,1926,1497,44,18
23,23,494,456,4,2
18,30,1005,981,15,10
5,7,136,98,1,1
12,12,2620,2352,22,7
19,22,768,710,32,16
7,11,1304,1198,4,4
16,16,3318,2512,72,21
27,40,4264,3877,77,30
46,54,1439,1384,37,33
4,6,536,412,9,3
30,32,4161,3525,74,46
0,0,571,437,30,4
2,2,308,315,4,4
25,31,815,694,8,7
11,14,566,548,7,3
20,27,2203,2043,12,8
8,8,581,555,13,0
30,41,1440,1104,21,7
1,2,1,1,0,0
1,1,14,13,0,0
12,16,852,738,11,5
65,69,2384,2259,18,6
17,19,459,421,7,3
7,9,210,209,2,2
4,5,130,118,12,0
33,38,1439,1285,15,10
37,43,929,798,15,8
30,32,1788,1423,19,14
65,82,5275,4571,51,37
11,11,1579,1404,50,26
7,9,993,856,11,4
2,2,210,145,23,4
2,3,205,186,2,2
11,30,4140,3519,33,22
30,40,2149,1818,56,11
1,2,85,74,3,0
10,13,1544,1510,13,7
8,11,440,420,4,4
41,43,6117,5140,65,31
26,32,3035,2528,33,13
45,56,1179,1012,8,6
3,10,1607,1447,31,10
45,49,857,1496,15,6
5,5,937,752,20,14
10,10,1551,1155,19,12
9,8,127,92,2,1
18,18,3782,3430,22,15
27,27,1958,1769,36,27
54,66,2763,2492,88,52
16,23,903,747,19,11
19,18,482,451,4,3
4,6,2120,1569,49,15
24,24,481,442,6,3
18,31,1001,959,11,7
5,6,137,91,0,0
11,11,2589,2292,28,9
21,22,755,691,24,13
8,11,1316,1192,6,3
17,16,3233,2443,79,27
25,38,4102,3753,87,31
45,54,1424,1382,34,33
4,6,500,403,11,2
30,30,4021,3366,73,44
8,9,559,449,27,6
2,2,312,315,4,4
25,32,821,694,7,5
11,14,567,549,8,2
23,29,2160,2000,14,7
8,8,539,519,15,0
30,41,1457,1088,18,6
1,2,1,1,0,0
1,1,13,13,0,0
13,15,812,676,7,4
61,67,2505,2371,16,6
16,19,470,432,8,3
7,8,221,218,2,2
4,5,146,129,3,2
34,36,1393,1292,12,8
33,38,975,837,10,3
28,31,1717,1350,14,10
65,81,5029,4364,55,34
8,10,1510,1365,35,23
7,9,1000,831,12,3
2,2,217,152,23,5
1,1,192,179,2,1
12,30,4097,3541,36,23
28,40,2086,1749,54,11
1,2,83,75,1,0
10,11,1536,1507,14,9
8,10,401,391,3,2
42,43,5907,5015,64,29
27,28,3015,2519,25,9
45,54,1120,977,7,3
2,6,1576,1461,15,4
43,48,841,1451,9,2
3,2,890,723,7,4
8,9,1448,1042,14,8
8,8,98,84,1,1
14,19,3732,3355,24,16
28,29,1926,1735,35,26
50,61,2699,2457,64,38
15,24,871,757,12,4
19,19,494,456,4,3
5,8,1945,1448,42,9
22,23,464,433,6,4
16,31,997,959,14,9
5,7,122,83,0,0
11,10,2508,2229,32,8
19,21,727,682,19,9
12,12,1230,1147,8,9
16,15,3104,2319,59,23
27,38,4017,3604,81,26
48,56,1351,1313,30,29
2,6,481,371,12,3
25,27,3736,3243,66,38
0,0,563,447,27,6
2,2,303,312,5,5
31,34,771,680,8,4
11,14,585,574,4,3
23,29,2159,1989,11,5
6,5,542,519,13,0
28,39,1330,1008,22,8
1,2,1,1,0,0
2,1,14,13,0,0
13,15,760,650,6,2
54,65,2546,2410,24,9
16,19,477,449,3,3
7,8,208,200,2,2
4,5,134,119,4,2
34,36,1364,1265,12,8
34,39,888,802,9,3
25,29,1633,1296,18,9
59,75,4948,4256,64,43
10,10,1408,1269,25,16
7,9,991,791,7,4
2,2,199,138,22,4
1,1,196,179,4,4
10,25,4297,3380,39,28
29,39,2106,1756,48,8
1,2,89,82,0,0
12,16,1515,1490,15,13
6,8,387,376,2,2
37,40,5773,4935,51,28
